row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
18_7,2,6,16,19,23,30,96,32,28,29,17,35,4,10,3,4,7,
18_8,3,8,14,16,25,29,95,32,26,33,17,30,5,6,2,9,4,
18_9,3,6,13,16,23,28,89,31,25,29,17,29,3,7,3,7,5,
18_10,3,6,12,17,23,29,90,32,26,29,17,29,3,6,5,6,6,
19_1,11,15,20,23,27,29,125,40,18,42,12,43,4,5,3,4,2,
19_2,6,9,17,21,26,28,107,34,22,35,17,38,3,8,4,5,2,
19_3,5,8,12,19,23,27,94,32,22,31,15,31,3,4,7,4,4,
19_4,5,8,13,18,22,28,94,33,23,30,14,31,3,5,5,4,6,
19_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
19_6,2,6,13,19,25,30,95,32,28,31,19,32,4,7,6,6,5,
19_7,1,3,11,17,23,29,84,30,28,26,20,28,2,8,6,6,6,
19_8,2,4,11,17,22,26,82,28,24,26,18,28,2,7,6,5,4,
19_9,1,4,11,19,23,28,86,29,27,27,19,30,3,7,8,4,5,
19_10,3,7,13,17,22,28,90,31,25,29,15,30,4,6,4,5,6,
20_1,7,11,20,24,29,31,122,38,24,40,18,44,4,9,4,5,2,
20_2,1,10,14,21,26,28,100,29,27,36,16,35,9,4,7,5,2,
20_3,3,6,12,19,25,29,94,32,26,31,19,31,3,6,7,6,4,
20_4,4,7,13,19,24,29,96,33,25,31,17,32,3,6,6,5,5,
20_5,4,9,14,20,24,29,100,33,25,33,15,34,5,5,6,4,5,
20_6,1,7,15,19,26,30,98,31,29,33,19,34,6,8,4,7,4,
20_7,0,6,12,15,25,29,87,29,29,31,19,27,6,6,3,10,4,
20_8,0,5,10,19,28,30,92,30,30,33,23,29,5,5,9,9,2,
20_9,1,6,10,18,24,29,88,30,28,30,18,28,5,4,8,6,5,
20_10,2,7,13,18,23,29,92,31,27,30,16,31,5,6,5,5,6,
21_1,9,14,18,26,30,33,130,42,24,44,16,44,5,4,8,4,3,
21_2,3,10,19,22,27,30,111,33,27,37,17,41,7,9,3,5,3,
21_3,4,8,13,20,26,30,101,34,26,34,18,33,4,5,7,6,4,
21_4,4,9,14,19,23,29,98,33,25,32,14,33,5,5,5,4,6,
21_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
21_6,2,9,19,23,28,31,112,33,29,37,19,42,7,10,4,5,3,
21_7,2,8,14,20,23,28,95,30,26,31,15,34,6,6,6,3,5,
21_8,1,9,17,20,27,31,105,32,30,36,18,37,8,8,3,7,4,
21_9,2,7,13,21,24,28,95,30,26,31,17,34,5,6,8,3,4,
21_10,3,8,12,16,20,29,88,32,26,28,12,28,5,4,4,4,9,
22_1,6,12,17,21,26,29,111,35,23,38,14,38,6,5,4,5,3,
22_2,4,10,18,23,27,29,111,33,25,37,17,41,6,8,5,4,2,
22_3,5,9,13,20,26,29,102,34,24,35,17,33,4,4,7,6,3,
22_4,4,8,13,19,24,29,97,33,25,32,16,32,4,5,6,5,5,
22_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
22_6,2,7,13,18,22,31,93,33,29,29,15,31,5,6,5,4,9,
22_7,2,7,12,18,20,30,89,32,28,27,13,30,5,5,6,2,10,
22_8,1,6,10,18,21,30,86,31,29,27,15,28,5,4,8,3,9,
22_9,2,6,10,18,21,29,86,31,27,27,15,28,4,4,8,3,8,
22_10,3,8,12,17,21,28,89,31,25,29,13,29,5,4,5,4,7,
23_1,10,16,19,24,26,30,125,40,20,42,10,43,6,3,5,2,4,
23_2,5,12,17,22,28,30,114,35,25,40,16,39,7,5,5,6,2,
23_3,3,5,10,20,26,29,93,32,26,31,21,30,2,5,10,6,3,
23_4,5,9,13,19,23,28,97,33,23,32,14,32,4,4,6,4,5,
23_5,4,8,14,19,24,29,98,33,25,32,16,33,4,6,5,5,5,
23_6,5,11,17,19,26,32,110,37,27,37,15,36,6,6,2,7,6,
23_7,4,9,16,19,27,32,107,36,28,36,18,35,5,7,3,8,5,
23_8,5,13,16,17,24,30,105,35,25,37,11,33,8,3,1,7,6,
23_9,3,7,14,19,25,30,98,33,27,32,18,33,4,7,5,6,5,
23_10,4,8,14,18,24,29,97,33,25,32,16,32,4,6,4,6,5,
24_1,14,17,21,24,28,30,134,44,16,45,11,45,3,4,3,4,2,
24_2,5,9,17,20,27,29,107,34,24,36,18,37,4,8,3,7,2,
24_3,4,7,11,20,26,29,97,33,25,33,19,31,3,4,9,6,3,
24_4,4,8,12,18,23,29,94,33,25,31,15,30,4,4,6,5,6,
24_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
24_6,2,6,14,21,25,28,96,30,26,31,19,35,4,8,7,4,3,
24_7,2,6,14,17,23,28,90,30,26,29,17,31,4,8,3,6,5,
24_8,1,5,11,14,22,28,81,29,27,27,17,25,4,6,3,8,6,
24_9,1,5,13,20,24,29,92,30,28,29,19,33,4,8,7,4,5,
24_10,3,8,12,17,21,29,90,32,26,29,13,29,5,4,5,4,8,
25_1,5,11,19,23,28,29,115,34,24,39,17,42,6,8,4,5,1,
25_2,3,10,18,22,28,30,111,33,27,38,18,40,7,8,4,6,2,
25_3,4,8,10,20,25,29,96,33,25,33,17,30,4,2,10,5,4,
25_4,4,7,12,18,23,29,93,33,25,30,16,30,3,5,6,5,6,
25_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
25_6,5,8,17,23,28,30,111,35,25,36,20,40,3,9,6,5,2,
25_7,5,11,18,23,26,30,113,35,25,37,15,41,6,7,5,3,4,
25_8,4,11,15,19,23,25,97,29,21,34,12,34,7,4,4,4,2,
25_9,4,8,12,22,26,29,101,33,25,34,18,34,4,4,10,4,3,
25_10,4,11,15,20,24,28,102,32,24,35,13,35,7,4,5,4,4,
26_1,7,12,19,27,29,29,123,36,22,41,17,46,5,7,8,2,0,
26_2,3,10,17,21,27,28,106,31,25,37,17,38,7,7,4,6,1,
26_3,3,8,12,20,27,29,99,32,26,35,19,32,5,4,8,7,2,
26_4,4,8,12,19,24,29,96,33,25,32,16,31,4,4,7,5,5,
26_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
26_6,4,9,16,19,24,26,98,30,22,33,15,35,5,7,3,5,2,
26_7,4,8,15,21,25,28,101,32,24,33,17,36,4,7,6,4,3,
26_8,3,8,14,18,23,26,92,29,23,31,15,32,5,6,4,5,3,
26_9,2,8,18,21,24,28,101,30,26,32,16,39,6,10,3,3,4,
26_10,3,7,14,18,22,27,91,30,24,29,15,32,4,7,4,4,5,
27_1,8,14,21,29,31,32,135,40,24,45,17,50,6,7,8,2,1,
27_2,4,12,17,23,28,30,114,34,26,40,16,40,8,5,6,5,2,
27_3,5,10,14,23,28,31,111,36,26,38,18,37,5,4,9,5,3,
27_4,5,8,13,18,23,28,95,33,23,31,15,31,3,5,5,5,5,
27_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
27_6,3,7,19,21,29,33,112,36,30,36,22,40,4,12,2,8,4,
27_7,3,7,18,22,27,33,110,36,30,34,20,40,4,11,4,5,6,
27_8,4,10,14,18,25,29,100,33,25,35,15,32,6,4,4,7,4,
27_9,2,6,13,20,25,27,93,29,25,31,19,33,4,7,7,5,2,
27_10,2,8,14,16,19,27,86,29,25,27,11,30,6,6,2,3,8,
28_1,7,11,16,25,27,29,115,36,22,38,16,41,4,5,9,2,2,
28_2,4,9,18,23,25,28,107,32,24,34,16,41,5,9,5,2,3,
28_3,6,10,14,22,25,28,105,34,22,35,15,36,4,4,8,3,3,
28_4,4,7,12,19,23,28,93,32,24,30,16,31,3,5,7,4,5,
28_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
28_6,5,7,14,18,29,32,105,37,27,36,22,32,2,7,4,11,3,
28_7,1,4,11,18,24,30,88,31,29,28,20,29,3,7,7,6,6,
28_8,3,7,15,19,23,30,97,33,27,30,16,34,4,8,4,4,7,
28_9,2,5,15,20,23,29,94,31,27,28,18,35,3,10,5,3,6,
28_10,1,6,12,17,22,28,86,29,27,28,16,29,5,6,5,5,6,
29_1,9,13,17,23,27,32,121,41,23,40,14,40,4,4,6,4,5,
29_2,2,6,15,20,27,29,99,31,27,33,21,35,4,9,5,7,2,
29_3,4,8,12,19,26,30,99,34,26,34,18,31,4,4,7,7,4,
29_4,4,8,13,18,23,29,95,33,25,31,15,31,4,5,5,5,6,
29_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
29_6,3,9,15,20,25,29,101,32,26,34,16,35,6,6,5,5,4,
29_7,2,8,14,18,23,29,94,31,27,31,15,32,6,6,4,5,6,
29_8,5,10,15,19,24,29,102,34,24,34,14,34,5,5,4,5,5,
29_9,4,9,15,20,24,28,100,32,24,33,15,35,5,6,5,4,4,
29_10,3,10,14,16,19,28,90,31,25,29,9,30,7,4,2,3,9,
30_1,6,10,16,23,28,30,113,36,24,38,18,39,4,6,7,5,2,
30_2,6,10,16,22,29,31,114,37,25,39,19,38,4,6,6,7,2,
30_3,4,6,10,21,27,30,98,34,26,33,21,31,2,4,11,6,3,
30_4,4,8,13,19,23,29,96,33,25,31,15,32,4,5,6,4,6,
30_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
30_6,4,10,16,18,28,30,106,34,26,38,18,34,6,6,2,10,2,
30_7,4,9,17,20,26,29,105,33,25,35,17,37,5,8,3,6,3,
30_8,3,7,12,17,23,26,88,29,23,30,16,29,4,5,5,6,3,
30_9,3,7,16,18,25,26,95,29,23,32,18,34,4,9,2,7,1,
30_10,3,8,11,14,21,29,86,32,26,29,13,25,5,3,3,7,8,
31_1,4,13,17,27,30,31,122,35,27,43,17,44,9,4,10,3,1,
31_2,2,8,17,21,26,28,102,30,26,34,18,38,6,9,4,5,2,
31_3,4,7,11,21,26,29,98,33,25,33,19,32,3,4,10,5,3,
31_4,5,9,13,18,23,28,96,33,23,32,14,31,4,4,5,5,5,
31_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
31_6,1,13,21,21,26,29,111,30,28,39,13,42,12,8,0,5,3,
31_7,3,8,18,19,24,29,101,32,26,32,16,37,5,10,1,5,5,
31_8,1,10,16,17,23,27,94,28,26,33,13,33,9,6,1,6,4,
31_9,1,9,16,20,23,27,96,28,26,32,14,36,8,7,4,3,4,
31_10,2,8,11,16,20,26,83,28,24,28,12,27,6,3,5,4,6,
32_1,7,12,16,24,28,31,118,38,24,40,16,40,5,4,8,4,3,
32_2,3,6,13,19,26,28,95,31,25,32,20,32,3,7,6,7,2,
32_3,4,7,12,21,25,28,97,32,24,32,18,33,3,5,9,4,3,
32_4,5,8,13,19,23,29,97,34,24,31,15,32,3,5,6,4,6,
32_5,5,9,14,19,24,29,100,34,24,33,15,33,4,5,5,5,5,
32_6,2,9,17,22,26,30,106,32,28,35,17,39,7,8,5,4,4,
32_7,1,6,15,23,27,30,102,31,29,33,21,38,5,9,8,4,3,
32_8,1,8,14,21,24,30,98,31,29,32,16,35,7,6,7,3,6,
32_9,1,6,13,23,25,27,95,28,26,31,19,36,5,7,10,2,2,
32_10,2,9,14,19,22,27,93,29,25,31,13,33,7,5,5,3,5,
33_1,8,15,19,25,28,32,127,40,24,43,13,44,7,4,6,3,4,
33_2,6,15,21,25,29,30,126,36,24,44,14,46,9,6,4,4,1,
33_3,5,9,14,21,27,30,106,35,25,36,18,35,4,5,7,6,3,
33_4,4,7,12,19,23,29,94,33,25,30,16,31,3,5,7,4,6,
33_5,4,8,13,19,24,29,97,33,25,32,16,32,4,5,6,5,5,
33_6,2,7,21,23,30,31,114,33,29,37,23,44,5,14,2,7,1,
33_7,2,7,16,20,27,31,103,33,29,34,20,36,5,9,4,7,4,
33_8,2,9,14,17,26,29,97,31,27,35,17,31,7,5,3,9,3,
33_9,1,6,14,18,27,29,95,30,28,33,21,32,5,8,4,9,2,
33_10,2,7,12,14,21,27,83,29,25,28,14,26,5,5,2,7,6,
34_1,6,12,16,24,27,30,115,36,24,39,15,40,6,4,8,3,3,
34_2,3,10,18,22,27,30,110,33,27,37,17,40,7,8,4,5,3,
34_3,5,9,13,20,25,29,101,34,24,34,16,33,4,4,7,5,4,
34_4,4,8,12,18,22,28,92,32,24,30,14,30,4,4,6,4,6,
34_5,4,9,14,20,24,29,100,33,25,33,15,34,5,5,6,4,5,
34_6,3,12,18,21,27,31,112,34,28,39,15,39,9,6,3,6,4,
34_7,2,8,15,21,26,30,102,32,28,34,18,36,6,7,6,5,4,
34_8,4,11,16,20,26,31,108,35,27,37,15,36,7,5,4,6,5,
34_9,2,8,15,20,26,31,102,33,29,34,18,35,6,7,5,6,5,
34_10,5,11,14,17,23,29,99,34,24,34,12,31,6,3,3,6,6,
35_1,7,15,20,26,29,30,127,37,23,44,14,46,8,5,6,3,1,
35_2,4,10,17,20,27,28,106,32,24,37,17,37,6,7,3,7,1,
35_3,4,8,13,18,24,28,95,32,24,32,16,31,4,5,5,6,4,
35_4,4,8,13,18,23,29,95,33,25,31,15,31,4,5,5,5,6,
35_5,4,9,14,19,24,29,99,33,25,33,15,33,5,5,5,5,5,
35_6,2,10,22,25,28,32,119,34,30,38,18,47,8,12,3,3,4,
35_7,2,9,19,24,27,31,112,33,29,36,18,43,7,10,5,3,4,
35_8,4,10,16,19,24,30,103,34,26,34,14,35,6,6,3,5,6,
35_9,4,9,17,21,26,30,107,34,26,35,17,38,5,8,4,5,4,
35_10,4,10,13,18,24,29,98,33,25,34,14,31,6,3,5,6,5,
36_1,3,12,16,23,30,31,115,34,28,42,18,39,9,4,7,7,1,
36_2,3,13,18,22,27,30,113,33,27,40,14,40,10,5,4,5,3,
36_3,5,8,13,20,26,30,102,35,25,34,18,33,3,5,7,6,4,
36_4,5,8,14,19,24,29,99,34,24,32,16,33,3,6,5,5,5,
