red1
1:(3.4, 41.5), (-3.0, -40.2), (-9.3, -119.7)
2:(11.7, 33.2), (-9.2, -34.0), (-29.7, -99.3)
3:(44.9, 0), (-43.2, 0), (-129.0, 0)
4:(27.9, 17.0), (-30.4, -12.8), (-87.1, -41.9)
5:(21.7, 23.2), (-19.9, -23.3), (-60.1, -68.9)
6:(14.8, 30.1), (-16.8, -26.4), (-47.2, -81.8)
7:(6.8, 38.1), (-8.6, -34.6), (-23.3, -105.7)
8:(3.1, 41.8), (-4.4, -38.8), (-11.7, -117.3)
9:(0, 44.9), (0, -43.2), (0, -129.0)

red_gap45
-1:(0, 82.8), (0, -3.7), (0, -91.0)
0:(1.9, 80.9), (-0.6, -3.1), (-2.9, -88.1)
1:(5.7, 77.1), (-0.8, -2.9), (-6.9, -84.1)
2:(7.6, 75.2), (-1.2, -2.5), (-9.6, -81.4)
3:(13.4, 69.4), (-1.7, -2.0), (-16.3, -74.7)
4:(27.4, 55.4), (-3.6, -0.1), (-34.1, -56.9)
5:(41.3, 41.5), (-7.9, 4.2), (-56.9, -34.1)
6:(51.1, 31.7), (-6.4, 2.7), (-64.2, -26.8)
7:(72.8, 10.0), (-1.8, -1.9), (-77.0, -14.0)
8:(82.1, 0.7), (-2.2, -1.5), (-87.5, -3.5)
9:(82.8, 0), (-3.7, 0), (-91.0, 0)
10:(0, 82.8), (0, -3.7), (0, -91.0)

red_gap56
-2:(0, 18.6), (0, -55.5), (0, -129.0)
-1:(0.3, 18.3), (-1.4, -54.1), (-3.0, -126.0)
0:(0.3, 18.3), (-1.4, -54.1), (-3.0, -126.0)
1:(1.4, 17.2), (-10.5, -45.0), (-22.1, -106.9)
2:(8.9, 9.7), (-28.2, -27.3), (-65.3, -63.7)
3:(12.9, 5.7), (-39.9, -15.6), (-92.2, -36.8)
4:(17.0, 1.6), (-49.3, -6.2), (-115.2, -13.8)
5:(16.8, 1.8), (-51.4, -4.1), (-119.2, -9.8)
6:(18.6, 0.0), (-53.4, -2.1), (-125.0, -4.0)
7:(18.6, 0), (-55.5, 0), (-129.0, 0)
8:(18.6, 0), (-55.5, 0), (-129.0, 0)
9:(18.6, 0), (-55.5, 0), (-129.0, 0)
10:(18.6, 0), (-55.5, 0), (-129.0, 0)
11:(0, 18.6), (0, -55.5), (0, -129.0)

red_blue
1:(0, 97.2), (0, 5.8), (0, -85.5)
2:(97.2, 0), (5.8, 0), (-85.5, 0)
3:(97.2, 0), (5.8, 0), (-85.5, 0)
