Date,Game,ball_number,sum25,gap23,gap12,row3,gap25,less8,less9,gap16,sum34,row2,gap34,less5,sum16,row4,less10,gap45,gap56,row1,ball,,,,,blue_sort
20221227,22149,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,,,,,1
20221229,22150,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,,,,,0
20230101,23001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1
20230103,23002,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,,,,,0
20230105,23003,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,,,,,0
20230108,23004,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,,,,,0
20230110,23005,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,,,,,1
20230112,23006,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,,,,,1
20230115,23007,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,,,,0
20230117,23008,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,0
20230129,23009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,1
20230131,23010,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,,,,,0
20230202,23011,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,,,,,0
20230205,23012,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,,,,,0
20230207,23013,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,,,,,0
20230209,23014,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,,,,,0
20230212,23015,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,,,,,0
20230214,23016,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,,,,0
20230216,23017,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,,,,,0
20230219,23018,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,,,,,0
20230223,23020,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,,,,0
20230226,23021,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,,,,,0
20230228,23022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,0
20230302,23023,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,0
20230305,23024,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,,,,,0
20230307,23025,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,,,,,1
20230312,23027,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,,,,,0
20230314,23028,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,,,,,0
20230316,23029,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,0
20230319,23030,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,,,,0
20230321,23031,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,,0
20230323,23032,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,,,,,0
20230326,23033,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,,,,,0
20230328,23034,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,,,,,0
20230330,23035,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,,,,,0
20230402,23036,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,,,,,1
20230404,23037,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,,,,,0
20230406,23038,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,,,,,0
20230409,23039,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,,,,,1
20230411,23040,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,,,,,0
20230413,23041,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,0
20230416,23042,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,,,,,0
20230418,23043,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,,,,,0
20230420,23044,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,,,,,0
20230425,23046,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,,,,,1
20230427,23047,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,,,,,0
20230430,23048,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,,,,,0
20230502,23049,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,,,,0
20230504,23050,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,,,,,0
20230509,23052,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,,,,,0
20230511,23053,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,,,,,0
20230514,23054,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,,,,0
20230516,23055,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,,,,,0
20230518,23056,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,,,,,0
20230521,23057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,,,,,0
20230523,23058,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,1
20230525,23059,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,,,,,0
20230528,23060,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0
20230530,23061,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,,,,,0
20230601,23062,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,,,,,1
20230604,23063,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,,,,,1
20230606,23064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1
20230608,23065,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,,,,,0
20230611,23066,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,,,,,0
20230613,23067,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,,,,,0
20230615,23068,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,,,,,0
20230618,23069,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,,,,,0
20230620,23070,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,,,,,1
20230622,23071,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,1
20230625,23072,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,0
20230627,23073,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,,,,,0
20230629,23074,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0
20230702,23075,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,0
20230704,23076,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,,,,,0
20230706,23077,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,,,,,0
20230709,23078,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,,,,,0
20230711,23079,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,,,,,1
20230713,23080,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,,,,,0
20230716,23081,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,,,,,0
20230718,23082,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,,,,,0
20230720,23083,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,,,,,1
20230723,23084,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,1
20230725,23085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,1
20230727,23086,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,,,,,0
20230730,23087,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,,,,,0
20230801,23088,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,1
20230803,23089,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,,,,,0
20230806,23090,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,,,,,0
20230808,23091,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,,,,,0
20230810,23092,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,,,,,1
20230815,23094,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,,,,,0
20230817,23095,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,,,,,0
20230820,23096,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,0
20230822,23097,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,,,,1
20230824,23098,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,,,,,1
20230827,23099,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,,,,,0
20230829,23100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,,,,,0
20230831,23101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,0
20230903,23102,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,,,,,1
20230905,23103,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0
20230907,23104,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,,,,,1
20230910,23105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,,,,,0
20230912,23106,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,,,,,0
20230914,23107,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,,,,,0
20230917,23108,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,1
20230919,23109,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,,,,,0
20230921,23110,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,,,,,0
20230924,23111,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,,,,,0
20230926,23112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,,1
20230928,23113,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,6,,,,0
20231005,23114,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,8,,,,0
20231008,23115,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,,,,0
20231010,23116,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,7,,,,1
20231012,23117,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,4,,,,0
20231015,23118,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,7,,,,1
20231017,23119,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,6,,,,0
20231019,23120,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,6,,,,0
20231022,23121,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,6,,,,0
20231024,23122,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,8,,,,0
20231026,23123,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,6,,,,0
