key,gap,pro1,pro2,pro3,range1,range2
4_3___3__,1,0.1,2.7,5.4,11,15
5_6___3__,7,-0.9,1.4,3.4,11,20
7_1___3__,1,-0.4,1.8,3.7,5,11
8_1___3__,1,-0.8,1.5,4.0,10,11
9_3___3__,1,-1.6,0.7,2.9,11,14
11_1___3__,1,-0.6,1.6,3.7,11,14
12_3___3__,1,-0.9,1.6,4.3,11,17
8_6___4__,5,-1.6,0.6,2.6,12,26
2_6___4__,5,-0.8,1.5,3.6,12,22
2_7___4__,5,-0.9,1.0,3.2,12,24
8_7___4__,2,-0.4,1.5,3.3,12,23
11_7___4__,4,-0.3,1.9,3.9,12,23
11_8___4__,4,-1.6,0.4,2.3,12,26
11_9___4__,4,-0.7,1.6,3.9,12,23
13_6___4__,3,-1.1,1.4,3.8,12,24
16_6___4__,6,-1.0,1.3,3.5,12,23
17_9___4__,1,-0.8,1.1,3.0,12,23
2_1___4__,1,0.1,2.3,4.6,12,17
2_8___4__,5,-0.8,1.0,2.9,12,24
2_9___4__,5,0.8,2.5,4.4,12,22
3_7___4__,4,-0.6,1.5,3.4,12,24
4_7___4__,3,-0.6,1.5,3.3,12,22
4_8___4__,2,-0.6,1.3,3.4,12,24
4_9___4__,2,-0.4,1.3,3.0,12,17
4_10___4__,2,-0.0,1.8,3.7,12,18
5_6___4__,3,-0.1,2.0,4.3,12,24
5_10___4__,5,0.0,2.2,4.2,12,16
1_7___4__,2,0.3,3.0,6.0,12,15
1_9___4__,2,-0.8,2.0,4.6,12,15
3_1___4__,7,-0.5,1.8,4.0,12,17
4_3___4__,7,-0.0,2.7,5.5,12,19
6_1___4__,1,-1.2,1.8,5.0,12,14
8_10___4__,5,-0.6,1.7,3.8,12,18
20_10___4__,5,-0.1,1.9,3.9,12,22
3_10___4__,5,-0.2,1.7,3.6,12,19
5_1___4__,7,-0.4,1.7,3.8,12,17
5_2___4__,1,-0.6,1.9,4.3,12,21
5_3___4__,5,-0.7,1.9,4.5,12,19
6_3___4__,4,-0.5,2.4,5.2,12,19
7_3___4__,4,-0.6,2.3,5.0,12,20
9_1___4__,1,0.2,2.5,5.0,12,14
9_3___4__,7,-0.7,2.1,4.9,12,19
9_10___4__,17,-0.4,2.0,4.3,12,18
10_3___4__,1,-0.4,2.5,5.3,12,18
11_3___4__,4,-1.4,1.2,3.8,12,18
15_3___4__,4,-0.5,1.9,4.2,12,20
17_1___4__,1,-1.6,0.7,3.0,12,17
9_9___5__,6,-0.9,1.3,3.6,18,21
2_6___5__,6,0.5,2.5,4.7,18,29
2_7___5__,6,-0.2,2.1,4.2,18,27
2_8___5__,6,0.1,2.0,4.0,18,27
2_9___5__,6,-0.5,1.6,3.7,18,24
4_6___5__,6,-1.4,1.0,3.6,18,27
4_7___5__,6,-0.7,1.6,4.0,18,26
4_9___5__,6,-0.7,1.3,3.5,18,21
6_7___5__,6,-2.1,0.7,3.5,18,28
