row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
6_4,3,8,12,18,23,27,91,30,24,31,15,30,5,4,6,5,4
6_5,4,8,13,19,24,28,96,32,24,32,16,32,4,5,6,5,4
6_6,2,6,12,11,19,21,71,23,19,25,13,23,4,6,-1,8,2
6_7,5,7,12,13,17,23,77,28,18,24,10,25,2,5,1,4,6
6_8,2,9,13,15,20,27,86,29,25,29,11,28,7,4,2,5,7
6_9,2,11,15,18,23,26,95,28,24,34,12,33,9,4,3,5,3
6_10,4,12,15,19,24,28,102,32,24,36,12,34,8,3,4,5,4
7_1,3,6,15,19,28,30,101,33,27,34,22,34,3,9,4,9,2
7_2,11,13,17,21,28,30,120,41,19,41,15,38,2,4,4,7,2
7_3,4,7,13,18,22,27,91,31,23,29,15,31,3,6,5,4,5
7_4,3,7,11,17,22,27,87,30,24,29,15,28,4,4,6,5,5
7_5,4,8,13,18,24,28,95,32,24,32,16,31,4,5,5,6,4
7_6,2,7,11,13,24,28,85,30,26,31,17,24,5,4,2,11,4
7_7,3,9,12,12,21,26,83,29,23,30,12,24,6,3,0,9,5
7_8,2,8,12,15,24,27,88,29,25,32,16,27,6,4,3,9,3
7_9,3,9,15,17,26,28,98,31,25,35,17,32,6,6,2,9,2
7_10,7,11,16,17,25,29,105,36,22,36,14,33,4,5,1,8,4
8_1,3,11,17,22,26,29,108,32,26,37,15,39,8,6,5,4,3
8_2,9,14,18,21,27,31,120,40,22,41,13,39,5,4,3,6,4
8_3,4,7,13,18,22,26,90,30,22,29,15,31,3,6,5,4,4
8_4,4,8,13,19,22,28,94,32,24,30,14,32,4,5,6,3,6
8_5,4,8,14,19,24,29,98,33,25,32,16,33,4,6,5,5,5
8_6,3,7,13,13,21,28,85,31,25,28,14,26,4,6,0,8,7
8_7,1,11,16,16,22,27,93,28,26,33,11,32,10,5,0,6,5
8_8,3,16,20,20,26,27,112,30,24,42,10,40,13,4,0,6,1
8_9,2,14,17,18,24,27,102,29,25,38,10,35,12,3,1,6,3
8_10,4,13,15,17,21,25,95,29,21,34,8,32,9,2,2,4,4
9_1,1,9,14,18,25,30,97,31,29,34,16,32,8,5,4,7,5
9_2,5,7,16,21,25,29,103,34,24,32,18,37,2,9,5,4,4
9_3,4,7,12,17,22,26,88,30,22,29,15,29,3,5,5,5,4
9_4,3,8,12,17,23,27,90,30,24,31,15,29,5,4,5,6,4
9_5,4,8,13,18,24,28,95,32,24,32,16,31,4,5,5,6,4
9_6,2,9,13,16,22,23,85,25,21,31,13,29,7,4,3,6,1
9_7,2,11,14,16,22,23,88,25,21,33,11,30,9,3,2,6,1
9_8,4,10,17,16,22,22,91,26,18,32,12,33,6,7,-1,6,0
9_9,4,9,17,22,28,28,108,32,24,37,19,39,5,8,5,6,0
9_10,5,10,17,20,25,26,103,31,21,35,15,37,5,7,3,5,1
10_1,2,7,15,22,25,27,98,29,25,32,18,37,5,8,7,3,2
10_2,11,16,20,25,28,31,131,42,20,44,12,45,5,4,5,3,3
