30
red1
more
20_1___1__, 8, 0, [0.7, 2.9, 5.2], [3, 3, 0, 0, 3, 2, 8, 2, 0, 2, 1, 0, 5, 2, 4, 2, 0, 1, 0, 0, 0, 1, 1, 1, 6, 0, 1, 0, 0, 6, 5, 1, 1, 2, 1, 4, 0, 0, 0, 3] (2, 10)
1_6___1__, 9, 3, [-0.3, 2.7, 5.7], [4, 0, 0, 1, 0, 0, 2, 5, 5, 0, 2, 2, 2, 2, 5, 0, 0, 2, 0, 1, 0, 0, 6, 6, 0, 0, 1, 13, 0, 0, 6, 1, 1, 0, 0, 1, 5, 2, 0, 4] (2, 6)
5_1___1__, 9, 1, [0.2, 2.5, 4.9], [2, 0, 2, 0, 0, 3, 2, 7, 3, 0, 2, 1, 0, 4, 0, 2, 4, 2, 0, 1, 0, 0, 0, 1, 3, 0, 5, 0, 1, 0, 0, 6, 5, 3, 4, 0, 2, 0, 0, 1] (2, 4)
5_6___1__, 9, 1, [0.5, 2.6, 4.8], [6, 0, 0, 2, 0, 4, 1, 4, 2, 0, 2, 1, 0, 5, 0, 1, 2, 0, 0, 3, 0, 0, 0, 0, 6, 1, 4, 0, 2, 1, 11, 1, 1, 4, 1, 1, 0, 0, 0, 0] (2, 7)
5_7___1__, 9, 1, [-0.7, 2.1, 4.8], [6, 0, 0, 2, 0, 4, 1, 4, 2, 0, 2, 1, 0, 2, 0, 1, 0, 1, 2, 1, 3, 0, 0, 0, 0, 6, 1, 4, 0, 2, 13, 1, 6, 4, 0, 0, 0, 4, 0, 2] (2, 8)
5_8___1__, 9, 1, [-1.2, 0.8, 2.9], [6, 0, 0, 3, 2, 1, 1, 4, 2, 0, 2, 1, 0, 2, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 3, 2, 1, 4, 0, 1, 0, 1, 9, 1, 1, 1, 4] (2, 6)
7_1___1__, 9, 0, [-1.2, 1.4, 4.0], [2, 1, 3, 0, 1, 1, 2, 7, 3, 0, 2, 1, 0, 3, 1, 2, 2, 1, 1, 1, 1, 0, 0, 2, 3, 0, 0, 4, 0, 1, 0, 2, 4, 5, 1, 1, 3, 0, 3, 0] (2, 6)
8_6___1__, 9, 1, [-0.2, 2.2, 4.3], [6, 0, 0, 1, 1, 4, 6, 1, 0, 0, 2, 2, 5, 0, 1, 2, 1, 2, 0, 1, 0, 0, 4, 1, 1, 4, 0, 2, 2, 6, 4, 0, 6, 1, 2, 0, 1, 5, 0, 1] (2, 6)
9_3___1__, 9, 1, [-1.4, 1.0, 3.2], [6, 0, 0, 3, 2, 1, 1, 2, 4, 0, 0, 1, 1, 0, 3, 1, 2, 4, 3, 1, 0, 0, 2, 0, 2, 1, 4, 0, 1, 0, 2, 10, 1, 1, 2, 1, 1, 1, 0, 0] (2, 7)
11_1___1__, 9, 0, [-1.3, 1.1, 3.6], [0, 1, 0, 4, 0, 1, 1, 2, 11, 0, 2, 1, 0, 5, 2, 3, 0, 2, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 4, 0, 1, 0, 0, 1, 3, 0, 5, 3, 2, 0] (2, 10)
11_6___1__, 9, 1, [0.0, 2.3, 4.4], [1, 5, 0, 2, 0, 2, 1, 1, 7, 0, 2, 2, 1, 3, 1, 0, 2, 0, 0, 3, 0, 0, 0, 0, 2, 3, 6, 0, 2, 5, 3, 3, 0, 0, 1, 2, 1, 3, 0, 0] (2, 10)
13_2___1__, 9, 1, [-1.2, 1.3, 4.0], [3, 2, 0, 0, 1, 1, 2, 8, 2, 0, 0, 1, 1, 0, 3, 1, 2, 3, 0, 3, 1, 0, 0, 2, 3, 0, 0, 4, 0, 1, 0, 2, 2, 0, 6, 3, 2, 1, 1, 1] (2, 9)
14_3___1__, 9, 1, [-1.4, 1.3, 4.1], [3, 2, 0, 0, 6, 1, 1, 2, 4, 0, 2, 1, 0, 1, 1, 1, 0, 1, 2, 0, 0, 3, 1, 0, 0, 2, 3, 1, 4, 0, 1, 0, 5, 7, 3, 2, 1, 1, 1, 0] (2, 3)
15_6___1__, 9, 1, [-0.7, 1.4, 3.4], [6, 0, 0, 3, 4, 1, 2, 3, 0, 0, 2, 1, 0, 1, 3, 0, 1, 2, 0, 0, 2, 2, 0, 0, 2, 3, 1, 4, 0, 1, 0, 5, 1, 7, 1, 1, 0, 0, 0, 1] (2, 4)
15_10___1__, 9, 1, [-0.9, 1.3, 3.5], [6, 0, 0, 1, 1, 2, 1, 1, 7, 0, 0, 1, 1, 0, 2, 1, 0, 0, 1, 2, 0, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 0, 2, 0, 0, 1, 0, 2, 4, 7] (2, 6)
17_3___1__, 9, 1, [-0.6, 2.2, 5.0], [7, 0, 1, 1, 2, 1, 1, 2, 4, 0, 0, 1, 1, 0, 3, 1, 0, 1, 2, 1, 3, 1, 0, 0, 2, 0, 2, 1, 4, 0, 1, 0, 13, 3, 2, 1, 1, 1, 0, 0] (2, 6)
18_8___1__, 9, 1, [-0.8, 1.6, 3.7], [6, 0, 0, 3, 2, 1, 1, 4, 2, 0, 2, 1, 0, 3, 1, 0, 5, 0, 0, 1, 2, 0, 0, 3, 1, 0, 5, 0, 0, 1, 0, 0, 7, 6, 5, 0, 2, 0, 0, 0] (2, 9)
