Game,Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20
16118,20161009,5,8,9,7,8,6,4,8,7,4,9,8,8,8,8,7,7,6,6,8
16119,20161011,8,8,8,5,7,7,5,7,7,8,5,7,9,4,5,5,6,4,5,4
16120,20161013,9,8,7,7,8,7,8,7,9,8,10,9,9,9,5,10,8,7,8,8
16121,20161016,9,7,8,8,7,10,7,8,8,9,9,8,7,5,6,6,8,6,6,6
16122,20161018,8,5,8,9,7,10,9,9,9,7,7,8,9,7,7,6,7,7,7,9
16123,20161020,9,7,7,9,8,7,7,10,9,7,9,9,9,9,10,10,8,8,8,8
16124,20161023,8,7,5,9,6,7,8,6,4,9,6,9,8,7,8,7,8,7,5,5
16125,20161025,5,8,6,9,3,6,5,6,3,7,7,5,8,5,6,8,6,5,7,5
16126,20161027,7,9,7,6,8,9,7,8,7,8,9,7,9,8,10,10,10,8,4,10
16127,20161030,8,8,8,7,7,8,8,10,10,9,8,7,8,8,8,8,9,6,9,9
16128,20161101,10,8,9,5,9,9,7,7,8,9,6,10,6,7,8,9,8,8,9,6
16129,20161103,9,8,6,8,6,6,6,6,4,6,4,5,5,5,8,6,5,6,6,5
16130,20161106,10,8,8,7,7,9,6,7,9,5,7,7,8,7,10,9,8,5,9,6
16131,20161108,9,8,10,9,6,8,6,7,9,8,7,10,8,10,6,9,7,8,7,8
16132,20161110,8,7,6,8,7,9,8,7,5,9,6,9,9,5,9,9,8,9,9,7
16133,20161113,2,3,5,4,5,3,6,4,4,6,7,6,4,5,4,3,4,6,5,3
16134,20161115,10,8,7,9,10,9,8,8,9,7,8,10,7,9,10,9,8,10,9,10
16135,20161117,8,6,4,7,7,4,7,8,7,5,7,8,7,8,6,8,5,4,8,9
16136,20161120,8,9,8,7,9,7,7,6,4,10,10,7,8,10,9,9,5,7,10,8
16137,20161122,7,7,8,7,6,8,7,6,9,8,7,6,5,7,6,7,6,6,3,2
16138,20161124,7,9,8,6,10,7,6,9,8,8,7,7,6,7,5,6,7,7,6,6
16139,20161127,7,8,8,7,9,8,8,8,8,8,7,9,10,7,9,6,7,8,10,6
16140,20161129,7,9,6,6,7,8,3,5,8,7,4,4,6,6,6,7,8,4,6,7
16141,20161201,8,9,9,9,10,8,6,8,6,10,8,7,6,10,9,7,9,7,8,9
16142,20161204,7,8,8,6,6,5,8,6,7,5,6,6,4,5,6,7,6,5,3,6
16143,20161206,10,7,8,8,9,8,6,9,3,9,8,7,5,7,8,9,8,8,8,5
16144,20161208,8,5,7,5,9,7,8,7,9,5,7,8,8,7,8,9,7,7,8,7
16145,20161211,5,8,9,9,8,5,7,6,7,5,4,9,8,5,7,3,6,6,4,6
16146,20161213,7,8,4,6,9,6,7,7,7,9,4,7,7,8,6,7,7,6,6,8
16147,20161215,8,8,8,8,8,4,7,8,5,8,5,8,5,8,7,6,7,5,7,9
16148,20161218,7,7,6,5,6,5,4,3,6,5,7,4,4,5,7,7,6,5,7,6
16149,20161220,5,6,4,4,6,3,5,3,3,6,7,5,7,6,6,6,5,2,7,5
16150,20161222,9,9,9,8,9,10,9,10,8,8,9,10,6,8,8,8,8,9,8,8
16151,20161225,3,6,6,8,6,5,7,4,4,7,6,3,5,4,4,8,4,5,3,2
16152,20161227,7,8,8,9,7,9,7,8,9,9,8,10,10,9,8,9,8,8,8,9
16153,20161229,9,9,7,5,7,6,5,8,6,9,8,9,9,9,7,9,8,10,7,7
17001,20170101,6,10,5,8,9,8,8,9,10,8,7,9,7,9,8,7,7,8,10,6
17002,20170103,10,9,5,4,8,6,9,10,7,7,7,9,8,8,7,8,5,8,8,6
17003,20170105,8,8,6,7,9,7,6,8,6,6,8,7,6,6,8,7,7,9,8,9
17004,20170108,7,6,6,5,7,6,6,6,6,4,4,5,7,5,7,7,5,6,6,8
17005,20170110,7,6,4,5,7,5,7,5,5,2,6,4,3,6,6,3,3,7,4,6
17006,20170112,9,7,7,9,4,7,7,10,9,6,8,9,8,6,6,9,10,8,7,7
17007,20170115,7,9,6,9,9,6,7,7,7,6,10,9,10,8,8,9,7,7,9,7
17008,20170117,10,10,8,10,9,10,9,9,9,7,8,10,7,9,9,7,10,8,9,9
17009,20170119,7,8,10,10,9,6,6,9,6,7,5,8,7,8,6,7,6,2,7,9
17010,20170122,5,8,7,8,9,9,9,7,10,8,8,10,9,10,6,6,9,9,8,7
17011,20170124,8,7,10,10,8,8,7,7,9,6,9,9,10,7,9,10,7,9,7,7
17012,20170126,10,7,7,9,7,8,10,9,10,10,9,10,10,8,9,7,9,7,8,10
17013,20170205,7,6,8,8,9,9,7,8,9,9,8,7,7,8,6,10,9,9,8,9
17014,20170207,5,8,8,8,8,9,5,8,8,8,8,6,5,5,6,7,7,3,8,7
17015,20170209,8,10,8,8,9,6,9,7,8,7,7,7,8,10,8,10,7,7,10,10
17016,20170212,8,10,10,8,10,8,9,10,9,7,8,7,9,9,5,8,6,9,6,5
17017,20170214,5,8,8,7,6,7,8,7,7,8,9,8,8,7,7,8,7,7,8,9
17018,20170216,5,5,3,5,7,7,8,8,8,7,7,4,4,6,7,9,7,5,7,7
17019,20170219,10,10,8,8,9,8,8,8,8,6,8,8,9,9,7,9,8,9,8,5
17020,20170221,6,9,5,8,7,6,7,9,6,7,7,9,7,7,9,7,6,5,5,4
17021,20170223,6,5,5,7,1,3,6,3,8,7,6,5,4,4,3,6,3,4,6,2
17022,20170226,7,8,5,5,8,6,3,5,5,8,6,7,6,6,6,3,3,4,5,7
17023,20170228,9,9,8,8,7,8,5,7,8,6,5,6,6,7,5,9,7,8,8,9
17024,20170302,5,10,10,6,9,10,9,8,10,10,9,8,8,6,9,10,10,9,7,8
17025,20170305,6,7,7,6,7,6,8,8,5,4,8,6,8,6,7,7,5,6,6,8
17026,20170307,7,8,9,6,8,7,9,6,8,8,7,5,7,7,7,7,8,7,4,8
17027,20170309,10,7,8,8,7,9,7,7,8,5,8,9,7,9,8,9,9,10,6,8
17028,20170312,6,8,8,4,4,8,6,8,7,6,8,8,6,7,7,7,6,7,5,7
17029,20170314,6,6,6,3,7,8,6,4,7,7,4,9,7,7,7,7,8,7,8,9
17030,20170316,7,7,7,7,6,10,7,7,6,8,8,6,6,7,7,7,6,9,4,8
17031,20170319,9,5,5,6,8,9,8,9,9,9,7,9,10,7,8,9,9,8,10,8
17032,20170321,8,7,6,6,7,7,9,8,8,8,8,7,9,8,6,7,8,6,8,9
17033,20170323,7,9,9,8,10,8,6,9,6,8,5,7,9,9,10,7,8,4,9,3
17034,20170326,8,5,7,5,6,7,4,7,8,8,7,5,8,7,5,8,7,6,3,6
17035,20170328,3,6,9,5,7,8,7,10,6,7,6,4,7,6,6,8,9,9,7,9
17036,20170330,6,8,3,6,5,7,5,7,8,5,7,4,6,6,8,5,8,6,5,6
17037,20170402,6,6,7,7,9,6,6,8,5,7,4,6,6,8,6,9,5,7,5,9
17038,20170404,6,8,7,5,7,9,7,10,8,6,10,8,10,8,5,6,10,9,8,8
17039,20170406,8,10,9,8,8,8,8,10,10,9,9,10,9,7,8,9,8,9,8,8
17040,20170409,5,7,5,8,7,9,4,7,7,7,10,5,8,6,10,6,7,8,9,6
17041,20170411,7,10,8,5,9,9,10,7,9,5,9,9,8,10,9,8,8,10,7,9
17042,20170413,4,7,8,5,7,7,8,9,7,7,6,6,10,7,7,6,6,8,7,7
17043,20170416,8,4,7,6,7,6,6,7,6,8,8,6,6,6,6,9,4,4,8,8
17044,20170418,8,6,7,9,7,7,8,7,9,6,5,8,9,7,8,9,9,7,8,6
17045,20170420,5,6,6,8,7,5,8,8,7,6,7,8,5,6,7,5,6,4,4,7
17046,20170423,6,6,8,3,6,7,4,7,7,7,7,5,7,6,9,10,6,6,6,8
17047,20170425,8,6,8,5,6,9,6,9,7,7,9,7,7,8,6,9,7,10,8,5
17048,20170427,9,8,5,8,9,7,6,10,10,6,9,7,9,10,7,6,8,8,10,9
17049,20170430,8,9,7,8,7,6,8,7,5,8,5,8,9,8,7,5,6,7,9,8
17050,20170502,10,8,8,8,9,9,6,7,9,5,9,7,10,9,6,6,10,9,9,7
17051,20170504,6,8,7,9,9,10,10,10,7,10,9,8,10,7,8,9,9,8,8,9
17052,20170507,8,8,7,5,8,9,9,6,6,8,8,9,7,8,6,10,10,7,8,9
17053,20170509,10,10,10,8,8,9,7,8,8,9,9,7,8,4,10,8,9,10,8,10
17054,20170511,5,7,7,7,6,5,5,6,9,8,4,6,6,4,7,5,5,7,5,8
17055,20170514,8,10,7,6,8,9,8,10,9,8,7,8,7,7,7,4,9,9,8,6
17056,20170516,9,6,6,7,9,7,9,8,9,8,8,8,5,7,9,8,5,6,7,6
17057,20170518,5,5,6,8,7,6,7,5,8,6,7,7,7,4,7,6,6,7,6,6
17058,20170521,9,9,6,7,7,7,5,7,7,9,7,7,8,7,7,6,8,8,7,8
17059,20170523,7,8,6,6,10,8,5,6,6,6,7,9,8,8,9,9,6,7,9,7
17060,20170525,6,9,6,5,7,7,9,9,7,5,5,9,10,7,8,7,9,8,5,7
17061,20170528,7,8,4,8,6,7,8,6,8,8,8,5,9,7,5,9,8,6,9,9
17062,20170530,5,8,5,6,7,6,5,7,8,9,2,8,4,8,8,7,8,5,7,6
17063,20170601,6,5,5,7,6,7,5,4,5,6,6,6,6,4,7,7,9,3,6,5
17064,20170604,7,9,7,6,6,8,7,9,8,7,8,7,8,9,7,6,6,9,8,9
17065,20170606,9,6,4,7,8,6,8,8,9,7,9,8,9,7,9,6,9,8,9,6
17066,20170608,8,5,5,9,5,6,9,9,7,9,7,7,10,6,8,7,9,8,8,5
17067,20170611,10,8,10,7,10,10,7,10,9,8,10,9,9,7,6,8,9,7,6,9
17068,20170613,9,8,7,5,8,7,8,8,6,7,8,5,5,7,6,7,8,6,6,7
17069,20170615,7,8,8,6,10,9,7,8,7,7,8,7,7,7,7,8,8,6,8,8
17070,20170618,3,7,7,5,7,9,6,8,6,7,8,8,6,5,8,7,8,8,6,7
17071,20170620,7,8,4,9,6,6,7,8,6,4,9,6,2,7,5,8,6,5,8,5
17072,20170622,7,8,7,6,7,8,8,7,9,7,9,8,8,8,8,5,9,9,7,7
17073,20170625,9,3,8,6,7,3,9,5,5,6,5,5,8,7,4,8,8,6,6,8
17074,20170627,2,7,6,5,5,2,5,6,4,5,2,6,3,6,4,3,5,4,6,5
17075,20170629,7,7,5,7,4,8,5,7,5,9,7,7,3,6,9,5,6,6,8,8
17076,20170702,8,6,7,9,8,8,8,9,10,10,9,10,9,8,8,10,9,8,8,9
17077,20170704,6,8,7,4,8,4,3,7,6,6,8,7,6,7,5,7,9,8,5,7
17078,20170706,8,8,7,8,6,7,10,9,9,10,8,7,10,7,9,6,7,8,9,9
17079,20170709,6,6,6,8,7,7,7,9,8,9,9,6,7,6,7,7,7,6,9,4
17080,20170711,8,7,6,8,8,7,8,7,7,10,9,9,5,5,10,5,10,5,7,8
17081,20170713,6,9,10,10,8,10,10,6,9,8,8,6,8,5,8,9,10,9,7,6
17082,20170716,8,8,4,7,9,9,7,3,6,5,10,8,7,8,8,8,7,7,7,7
17083,20170718,8,7,9,9,7,6,8,8,4,8,9,9,7,9,9,8,10,8,7,8
17084,20170720,8,9,8,5,6,6,8,8,7,4,9,7,8,9,9,6,8,10,8,4
17085,20170723,6,8,6,8,8,7,8,7,8,5,8,8,7,9,5,8,8,8,7,9
17086,20170725,6,8,5,8,8,7,9,7,8,7,2,8,10,8,8,8,6,6,8,7
17087,20170727,8,5,6,4,5,4,5,6,6,8,8,8,5,6,6,7,7,5,7,6
17088,20170730,9,8,8,9,10,9,9,9,9,6,9,8,8,8,9,10,7,8,9,8
17089,20170801,6,7,6,8,6,7,7,7,5,7,6,6,8,6,6,6,8,6,6,9
17090,20170803,4,5,6,6,6,6,7,7,5,4,6,5,5,5,5,4,6,4,5,3
17091,20170806,10,10,8,9,10,10,5,10,8,8,9,10,9,7,10,8,7,8,9,7
17092,20170808,9,10,7,8,9,8,8,9,7,8,7,6,5,8,7,6,8,10,9,9
17093,20170810,7,8,7,5,9,9,9,10,9,6,8,10,8,7,8,6,8,9,9,8
17094,20170813,8,8,7,8,5,9,8,9,7,8,7,8,7,5,6,7,10,7,9,7
17095,20170815,10,7,10,6,8,6,8,7,10,8,9,10,9,7,7,10,7,10,8,9
17096,20170817,6,7,5,8,8,7,8,10,5,6,8,5,7,8,6,3,9,8,7,3
17097,20170820,8,8,7,6,10,8,8,9,9,7,9,8,9,8,10,9,8,7,9,8
17098,20170822,7,8,4,9,8,8,8,8,9,7,8,6,8,7,5,7,7,7,6,8
17099,20170824,5,10,10,7,9,7,6,9,7,10,9,7,10,7,9,8,9,9,7,9
17100,20170827,8,7,6,8,6,5,9,7,9,8,9,7,8,8,9,6,9,7,7,9
17101,20170829,6,4,6,8,6,8,7,7,7,7,4,7,7,4,8,2,2,5,7,9
17102,20170831,5,5,9,9,10,7,8,7,7,5,8,5,7,8,8,7,8,8,8,10
17103,20170903,4,7,5,8,8,8,3,6,7,5,7,7,7,9,6,6,6,7,6,8
17104,20170905,8,7,8,9,5,9,7,6,7,6,8,9,8,8,9,9,8,8,7,3
17105,20170907,6,7,6,7,6,8,8,8,6,8,8,8,10,9,7,8,8,6,8,9
17106,20170910,7,8,6,4,8,9,7,7,8,7,8,6,8,7,8,5,7,9,5,7
17107,20170912,9,7,5,6,6,8,8,5,7,8,7,8,9,6,4,7,8,6,8,4
17108,20170914,9,5,9,8,9,8,8,9,10,7,9,8,6,10,10,9,6,9,8,8
17109,20170917,8,8,3,7,6,9,7,8,9,9,9,8,7,8,9,5,10,4,6,7
17110,20170919,8,8,7,10,6,8,7,8,10,9,7,9,8,8,9,9,8,8,8,6
17111,20170921,8,5,7,7,7,6,10,7,6,9,7,8,9,8,10,7,7,10,7,10
17112,20170924,10,9,8,8,9,9,7,9,6,9,9,7,9,7,6,10,8,8,5,7
17113,20170926,7,8,10,7,8,6,9,7,10,7,8,9,7,8,8,7,9,10,8,8
17114,20170928,6,6,6,7,8,8,7,7,8,8,7,5,6,8,8,7,7,6,6,7
17115,20171001,7,9,7,8,8,7,9,9,8,9,8,8,8,8,9,7,8,8,7,8
17116,20171003,7,7,9,6,7,6,8,6,7,8,5,7,8,6,5,5,7,6,4,6
17117,20171005,7,8,9,9,8,8,7,8,8,5,7,6,6,8,10,9,8,8,5,8
17118,20171008,7,8,7,6,6,8,8,9,8,7,7,8,5,8,5,10,10,9,7,8
17119,20171010,9,6,7,9,8,9,8,9,10,10,8,7,9,7,10,9,10,9,9,8
17120,20171012,6,9,7,9,8,8,8,8,6,6,5,7,3,9,8,7,7,7,5,8
17121,20171015,8,4,5,5,8,6,8,8,8,6,7,5,7,7,5,6,6,6,7,5
17122,20171017,7,8,6,7,6,8,6,6,7,8,7,7,5,9,8,9,9,7,7,4
17123,20171019,6,9,8,7,9,9,8,7,7,9,8,6,7,9,7,8,7,9,7,7
17124,20171022,8,7,7,9,8,6,7,9,9,8,9,8,8,9,10,8,9,8,8,9
17125,20171024,9,8,8,6,7,8,8,10,7,7,8,8,9,9,8,8,7,4,7,7
17126,20171026,6,5,6,5,5,4,9,6,4,6,6,7,6,8,6,5,5,6,5,5
17127,20171029,9,7,6,7,6,7,8,5,7,5,7,5,8,9,6,6,9,7,6,6
17128,20171031,7,8,7,4,10,5,7,8,5,10,8,3,6,6,7,8,6,9,8,7
17129,20171102,8,8,7,7,7,8,4,7,6,9,3,8,8,9,6,7,9,6,9,6
17130,20171105,6,9,8,7,10,8,8,9,9,6,8,10,7,9,8,5,9,7,9,8
17131,20171107,8,7,5,6,6,7,4,8,9,7,8,7,7,8,6,8,7,8,9,7
17132,20171109,7,5,6,7,3,8,8,6,5,8,7,8,9,5,6,7,6,6,6,7
17133,20171112,7,5,2,6,5,3,8,5,8,9,5,5,8,5,3,3,6,7,4,6
17134,20171114,7,8,8,9,8,6,8,8,6,7,8,5,7,8,10,5,7,8,7,9
17135,20171116,6,6,7,5,8,9,7,3,4,7,8,8,6,7,9,6,8,8,7,5
17136,20171119,6,8,9,7,7,9,9,8,8,8,9,9,7,6,10,9,8,8,7,6
17137,20171121,5,6,8,6,8,8,7,6,9,6,9,7,6,6,6,8,6,6,6,8
17138,20171123,4,3,6,6,6,5,6,7,6,7,6,8,6,6,8,7,4,6,8,6
17139,20171126,9,7,7,8,6,7,8,6,6,8,10,6,8,9,8,9,9,6,5,6
17140,20171128,10,8,6,6,6,5,8,8,8,7,9,8,7,9,10,6,8,6,7,8
17141,20171130,8,4,8,3,4,9,6,7,6,5,9,6,9,7,8,4,7,8,7,8
17142,20171203,6,5,8,10,8,6,9,9,7,8,9,6,9,8,6,9,7,9,8,7
17143,20171205,8,8,9,9,7,6,6,9,9,9,9,5,8,9,8,9,8,8,7,10
17144,20171207,5,7,8,7,7,10,8,3,9,5,5,9,8,7,5,9,5,8,7,5
17145,20171210,7,7,8,6,7,5,9,6,7,6,7,8,9,5,7,6,8,10,10,7
17146,20171212,8,7,9,3,8,10,10,6,9,5,8,5,5,7,7,6,5,9,8,8
17147,20171214,6,4,7,6,7,5,5,8,7,6,7,7,7,4,8,5,7,8,5,7
17148,20171217,5,8,9,6,8,7,6,7,7,7,8,9,6,8,8,7,6,9,9,9
17149,20171219,8,9,6,7,7,8,8,9,5,8,8,5,7,7,8,6,9,9,7,9
17150,20171221,9,9,7,8,6,8,8,6,8,7,10,8,9,7,9,8,10,8,9,7
17151,20171224,9,8,7,7,8,7,7,6,9,7,8,8,7,8,9,7,8,10,9,7
17152,20171226,7,6,6,7,7,9,7,8,7,9,8,8,10,7,9,9,8,7,9,9
17153,20171228,7,5,10,5,6,8,9,8,7,9,10,9,9,9,9,9,7,7,6,7
17154,20171231,8,9,9,9,6,6,7,8,7,5,9,7,7,8,8,9,8,9,8,7
18001,20180102,6,8,6,5,9,4,7,9,5,7,9,6,7,8,7,5,9,7,6,8
18002,20180104,9,9,7,7,9,9,8,9,7,6,10,5,7,7,6,7,10,8,8,6
18003,20180107,6,3,6,6,7,6,6,8,6,6,6,5,9,7,7,8,6,8,6,7
18004,20180109,6,8,9,6,8,6,7,7,7,7,6,4,5,8,7,9,6,8,6,9
18005,20180111,9,8,7,6,8,7,6,6,4,10,9,8,6,7,8,7,7,6,6,6
18006,20180114,9,9,7,8,9,8,10,9,9,10,10,9,8,8,10,9,9,10,7,8
18007,20180116,7,9,7,9,8,6,5,4,5,6,5,6,9,7,7,6,8,9,6,6
18008,20180118,6,8,10,8,9,8,10,9,10,7,9,7,8,7,9,7,10,6,8,8
18009,20180121,6,7,8,6,6,7,7,6,8,4,5,6,6,5,5,4,7,8,6,7
18010,20180123,7,5,5,9,8,7,8,8,5,6,8,8,7,6,8,8,7,7,6,8
18011,20180125,8,7,6,6,6,8,7,5,8,9,6,9,7,7,6,6,8,5,6,6
18012,20180128,8,10,8,8,9,8,8,9,10,9,9,9,7,8,10,8,9,8,8,9
18013,20180130,5,7,4,6,7,6,5,4,6,8,5,6,7,6,8,8,5,6,5,5
18014,20180201,7,10,9,7,5,9,9,8,9,7,8,6,9,9,8,10,6,9,9,9
18015,20180204,7,4,5,2,5,7,5,2,3,5,3,6,4,4,5,4,2,6,6,5
18016,20180206,6,8,8,10,9,9,8,8,10,8,8,7,7,6,7,7,7,8,5,6
18017,20180208,8,4,5,6,6,6,5,6,5,5,8,6,6,6,7,7,7,6,6,5
18018,20180211,8,7,6,8,8,6,8,8,7,8,9,9,4,7,5,9,6,7,9,9
18019,20180213,7,5,6,7,8,8,7,7,6,7,8,7,5,6,6,5,8,6,7,8
18020,20180222,8,10,8,9,9,9,7,9,9,8,7,6,7,9,8,5,10,8,5,9
18021,20180225,7,7,8,6,6,7,6,8,4,7,8,8,5,8,6,8,6,7,7,8
18022,20180227,7,8,8,9,9,8,9,7,9,9,9,7,9,9,5,8,9,8,7,9
18023,20180301,10,9,8,9,7,10,5,6,8,7,8,8,6,8,9,10,9,6,9,8
18024,20180304,7,8,4,5,5,9,8,8,8,7,7,9,9,8,6,9,6,6,8,5
18025,20180306,9,5,9,8,8,8,8,8,8,6,9,5,8,9,9,9,8,6,7,9
18026,20180308,8,6,8,8,7,8,5,6,7,9,7,9,8,8,6,7,7,10,6,6
18027,20180311,9,6,5,6,4,9,8,8,7,7,7,6,6,6,7,7,5,8,8,6
18028,20180313,8,10,8,9,8,7,6,8,5,5,6,9,8,8,9,8,8,8,8,7
18029,20180315,8,8,7,7,7,6,8,9,9,6,8,8,7,6,9,8,10,10,6,9
18030,20180318,6,5,9,7,7,6,8,7,10,9,9,6,10,9,9,9,6,9,8,7
18031,20180320,6,7,7,10,7,5,8,6,7,5,3,7,6,8,6,6,4,6,8,7
18032,20180322,8,9,10,10,9,9,10,10,9,10,10,10,10,9,10,10,9,9,10,9
18033,20180325,6,7,8,5,7,4,4,7,5,6,9,5,4,6,6,6,7,6,6,5
18034,20180327,7,7,4,7,4,7,4,6,6,8,5,7,6,7,5,8,4,7,6,6
18035,20180329,9,7,8,7,8,8,8,7,7,7,8,7,8,7,8,6,10,7,5,7
18036,20180401,5,4,8,6,8,7,8,8,8,9,7,6,6,8,6,9,6,7,8,9
18037,20180403,6,6,9,6,7,8,8,5,6,6,6,9,8,5,7,8,5,9,6,6
18038,20180405,8,10,9,8,9,9,9,8,9,9,10,10,8,7,7,9,10,8,8,9
18039,20180408,9,10,5,5,6,7,7,9,8,5,10,5,9,6,7,9,8,8,4,9
18040,20180410,4,1,6,3,4,6,7,5,5,6,4,6,5,6,5,3,4,4,8,5
18041,20180412,7,5,7,7,6,7,5,6,5,6,7,8,7,6,3,7,10,7,5,6
