Game,Date,P1,P19,P9,P15,P#,P2,P16,P#,P5,P#,P17,P10,P3,P12,P#,P8,P#,P18,P#,P13,P#,P11,P4,P#,P14,P7,P#,P6,P#,P20,P#
16076,20160703,1,10,13,15,#,12,5,#,3,#,12,1,2,4,#,12,#,6,#,11,#,10,5,#,2,10,#,11,#,7,#
16077,20160705,2,2,3,1,#,1,2,#,7,#,1,2,1,2,#,9,#,3,#,2,#,1,5,#,7,1,#,4,#,3,#
16078,20160707,3,5,5,8,#,1,1,#,6,#,1,5,4,2,#,2,#,3,#,2,#,1,3,#,1,1,#,4,#,1,#
16079,20160710,1,3,9,5,#,1,1,#,18,#,1,7,3,5,#,10,#,8,#,5,#,3,4,#,1,5,#,5,#,2,#
16080,20160712,2,6,6,7,#,5,1,#,3,#,2,12,12,1,#,1,#,3,#,1,#,12,6,#,9,9,#,1,#,7,#
16081,20160714,4,7,1,2,#,5,5,#,11,#,5,4,2,4,#,1,#,1,#,3,#,16,4,#,9,1,#,3,#,2,#
16082,20160717,6,6,12,2,#,8,8,#,7,#,2,6,3,7,#,10,#,3,#,1,#,4,11,#,5,7,#,2,#,9,#
16083,20160719,1,11,14,8,#,1,2,#,4,#,10,3,2,5,#,6,#,1,#,4,#,1,1,#,11,1,#,13,#,13,#
16084,20160721,1,1,1,1,#,1,4,#,10,#,5,9,9,2,#,17,#,5,#,3,#,3,6,#,3,2,#,2,#,2,#
16085,20160724,3,2,3,7,#,4,7,#,3,#,7,7,6,6,#,5,#,3,#,11,#,2,7,#,9,2,#,6,#,8,#
16086,20160726,2,3,5,9,#,4,7,#,1,#,1,3,3,5,#,4,#,1,#,2,#,3,2,#,1,1,#,5,#,1,#
16087,20160728,5,3,1,7,#,1,1,#,5,#,4,2,2,3,#,2,#,2,#,4,#,1,3,#,4,11,#,4,#,1,#
16088,20160731,2,6,14,10,#,3,4,#,1,#,4,2,2,2,#,3,#,1,#,2,#,5,10,#,4,2,#,6,#,3,#
16089,20160802,3,7,6,14,#,1,8,#,15,#,4,8,12,6,#,12,#,7,#,16,#,1,12,#,1,3,#,1,#,10,#
16090,20160804,8,6,8,5,#,5,6,#,7,#,1,3,10,10,#,4,#,4,#,3,#,5,14,#,6,4,#,13,#,12,#
16091,20160807,1,2,11,1,#,1,1,#,1,#,5,2,3,2,#,3,#,2,#,2,#,2,5,#,3,1,#,1,#,6,#
16092,20160809,1,2,4,3,#,1,1,#,3,#,3,7,3,1,#,8,#,3,#,2,#,3,6,#,4,3,#,2,#,3,#
16093,20160811,1,2,8,2,#,7,5,#,4,#,1,7,2,3,#,3,#,1,#,3,#,5,6,#,1,1,#,6,#,1,#
16094,20160814,4,7,11,3,#,7,6,#,7,#,4,4,9,9,#,2,#,2,#,9,#,3,5,#,3,3,#,3,#,1,#
16095,20160816,6,5,7,3,#,1,2,#,2,#,14,5,2,1,#,7,#,2,#,4,#,3,5,#,2,3,#,4,#,9,#
16096,20160818,4,3,5,7,#,3,1,#,1,#,2,2,3,3,#,2,#,4,#,4,#,10,13,#,6,7,#,8,#,1,#
16097,20160821,3,2,9,3,#,3,2,#,9,#,4,1,2,5,#,2,#,2,#,12,#,1,3,#,7,1,#,2,#,2,#
16098,20160823,5,4,1,6,#,4,11,#,2,#,1,8,3,4,#,2,#,6,#,5,#,4,6,#,9,11,#,3,#,18,#
16099,20160825,13,10,4,3,#,11,4,#,4,#,9,3,9,2,#,9,#,9,#,6,#,6,3,#,5,14,#,7,#,13,#
16100,20160828,2,4,1,9,#,5,1,#,2,#,3,14,3,3,#,12,#,4,#,4,#,7,2,#,14,2,#,2,#,3,#
16101,20160830,1,12,1,2,#,2,16,#,6,#,8,4,2,2,#,3,#,3,#,7,#,12,1,#,2,2,#,5,#,11,#
16102,20160901,2,1,3,2,#,3,1,#,3,#,2,2,1,7,#,2,#,3,#,2,#,1,2,#,2,11,#,1,#,2,#
16103,20160904,2,4,1,1,#,1,5,#,9,#,8,3,1,1,#,1,#,9,#,2,#,4,4,#,7,5,#,13,#,3,#
16104,20160906,1,2,1,4,#,3,1,#,2,#,5,1,4,11,#,1,#,2,#,11,#,6,6,#,2,5,#,3,#,6,#
16105,20160908,3,3,9,3,#,4,7,#,9,#,1,4,3,5,#,1,#,1,#,7,#,6,7,#,5,9,#,1,#,3,#
16106,20160911,3,3,1,1,#,2,2,#,1,#,1,2,1,3,#,2,#,4,#,4,#,2,2,#,1,2,#,1,#,2,#
16107,20160913,8,3,9,12,#,12,13,#,14,#,18,2,6,1,#,16,#,7,#,5,#,4,12,#,2,13,#,13,#,8,#
16108,20160915,2,9,4,4,#,11,5,#,1,#,2,6,3,12,#,7,#,9,#,3,#,3,4,#,1,1,#,10,#,5,#
16109,20160918,10,8,2,3,#,12,4,#,2,#,6,5,2,7,#,11,#,2,#,8,#,11,6,#,3,3,#,6,#,11,#
16110,20160920,11,9,9,11,#,9,12,#,7,#,21,4,2,13,#,20,#,9,#,9,#,1,10,#,1,4,#,3,#,3,#
16111,20160922,1,1,1,5,#,1,2,#,7,#,4,4,2,16,#,2,#,5,#,7,#,2,4,#,2,3,#,3,#,1,#
16112,20160925,10,3,5,3,#,3,6,#,4,#,1,2,2,6,#,7,#,1,#,6,#,3,8,#,2,1,#,2,#,1,#
16113,20160927,1,2,8,9,#,12,11,#,8,#,4,7,7,15,#,11,#,14,#,6,#,5,6,#,6,12,#,4,#,12,#
16114,20160929,2,4,5,3,#,1,5,#,3,#,2,1,2,1,#,2,#,3,#,1,#,1,5,#,1,2,#,3,#,4,#
16115,20161002,9,4,9,6,#,2,3,#,2,#,7,3,7,2,#,5,#,7,#,5,#,4,4,#,1,2,#,1,#,3,#
16116,20161004,8,3,5,7,#,3,11,#,12,#,10,9,10,5,#,2,#,17,#,11,#,4,1,#,8,6,#,19,#,9,#
16117,20161006,7,1,3,5,#,10,2,#,10,#,7,3,4,1,#,1,#,4,#,9,#,8,1,#,4,2,#,1,#,7,#
16118,20161009,7,6,2,4,#,7,8,#,4,#,3,9,2,4,#,6,#,14,#,5,#,4,8,#,2,16,#,7,#,3,#
16119,20161011,1,10,4,8,#,1,7,#,6,#,5,3,3,12,#,8,#,14,#,2,#,3,2,#,13,8,#,2,#,18,#
16120,20161013,1,1,2,7,#,1,3,#,5,#,1,2,5,2,#,5,#,4,#,1,#,3,6,#,2,5,#,1,#,6,#
16121,20161016,2,7,1,4,#,6,4,#,5,#,2,2,3,6,#,2,#,6,#,3,#,1,4,#,4,11,#,3,#,1,#
16122,20161018,7,3,4,12,#,3,8,#,3,#,3,5,10,5,#,1,#,7,#,1,#,6,1,#,6,9,#,1,#,2,#
16123,20161020,1,3,2,1,#,7,2,#,3,#,1,5,5,2,#,3,#,7,#,5,#,3,2,#,5,5,#,1,#,4,#
16124,20161023,3,2,9,6,#,2,5,#,7,#,6,2,3,3,#,9,#,11,#,4,#,2,3,#,5,8,#,1,#,7,#
16125,20161025,5,3,15,2,#,6,4,#,11,#,6,5,6,4,#,6,#,8,#,8,#,4,2,#,12,8,#,6,#,8,#
16126,20161027,6,13,6,2,#,2,2,#,2,#,2,4,7,7,#,6,#,8,#,5,#,4,12,#,7,12,#,5,#,4,#
16127,20161030,3,6,2,3,#,5,1,#,7,#,3,1,9,1,#,1,#,6,#,2,#,2,5,#,4,5,#,2,#,1,#
16128,20161101,4,4,1,5,#,1,1,#,1,#,1,6,6,1,#,1,#,1,#,1,#,4,6,#,7,6,#,1,#,2,#
16129,20161103,1,6,8,1,#,5,4,#,4,#,6,5,7,8,#,12,#,6,#,8,#,3,5,#,11,6,#,11,#,7,#
16130,20161106,6,2,1,3,#,4,5,#,7,#,3,6,3,3,#,1,#,15,#,3,#,9,7,#,3,9,#,1,#,13,#
16131,20161108,1,4,2,2,#,3,3,#,4,#,3,6,3,3,#,6,#,4,#,4,#,7,3,#,1,9,#,4,#,2,#
16132,20161110,2,3,11,3,#,3,2,#,5,#,3,4,9,2,#,2,#,1,#,2,#,10,2,#,6,6,#,1,#,6,#
16133,20161113,19,7,9,14,#,15,14,#,3,#,21,8,12,3,#,16,#,3,#,12,#,8,13,#,10,9,#,16,#,7,#
16134,20161115,3,2,3,7,#,8,7,#,3,#,5,5,6,3,#,6,#,5,#,4,#,9,6,#,1,1,#,6,#,4,#
16135,20161117,4,5,7,7,#,2,3,#,7,#,6,11,9,3,#,1,#,7,#,1,#,3,1,#,4,4,#,9,#,2,#
16136,20161120,1,2,16,1,#,1,4,#,2,#,9,2,9,6,#,9,#,8,#,3,#,2,4,#,1,10,#,1,#,3,#
16137,20161122,5,18,4,1,#,9,2,#,2,#,5,1,6,10,#,6,#,7,#,9,#,5,8,#,1,5,#,6,#,13,#
16138,20161124,7,1,8,11,#,2,3,#,1,#,10,4,5,3,#,1,#,3,#,4,#,4,7,#,4,14,#,6,#,3,#
16139,20161127,3,1,5,3,#,15,9,#,1,#,4,2,6,1,#,8,#,8,#,3,#,9,5,#,13,4,#,1,#,4,#
16140,20161129,1,2,1,3,#,1,1,#,2,#,1,4,6,12,#,2,#,11,#,1,#,11,4,#,4,8,#,3,#,4,#
16141,20161201,3,6,8,4,#,4,5,#,1,#,1,1,3,1,#,6,#,4,#,4,#,3,3,#,2,5,#,1,#,4,#
16142,20161204,5,13,7,5,#,4,3,#,6,#,2,11,7,6,#,12,#,13,#,13,#,5,4,#,7,1,#,1,#,10,#
16143,20161206,3,4,18,1,#,3,1,#,1,#,2,2,4,7,#,2,#,4,#,11,#,1,2,#,5,6,#,5,#,7,#
16144,20161208,3,2,1,3,#,2,4,#,3,#,3,11,10,1,#,2,#,2,#,3,#,2,11,#,2,2,#,2,#,3,#
16145,20161211,11,7,7,6,#,2,11,#,3,#,7,4,1,1,#,2,#,9,#,1,#,9,1,#,12,1,#,3,#,8,#
16146,20161213,3,9,6,5,#,4,7,#,2,#,11,3,10,8,#,5,#,9,#,5,#,5,9,#,2,3,#,2,#,4,#
16147,20161215,3,10,12,4,#,1,8,#,4,#,3,3,3,2,#,3,#,11,#,16,#,3,10,#,6,4,#,13,#,2,#
16148,20161218,7,6,11,9,#,4,2,#,7,#,7,15,7,6,#,19,#,13,#,12,#,5,14,#,6,7,#,9,#,10,#
16149,20161220,2,6,16,2,#,10,3,#,8,#,3,6,12,6,#,10,#,24,#,1,#,2,16,#,3,9,#,10,#,5,#
16150,20161222,1,6,1,2,#,1,3,#,7,#,5,2,2,2,#,1,#,6,#,5,#,1,2,#,2,1,#,1,#,3,#
16151,20161225,16,14,5,12,#,12,1,#,3,#,6,2,5,15,#,7,#,2,#,14,#,7,3,#,13,5,#,8,#,16,#
16152,20161227,2,6,1,6,#,1,3,#,4,#,5,1,1,1,#,3,#,10,#,1,#,10,5,#,4,11,#,2,#,2,#
16153,20161229,1,3,2,2,#,1,4,#,4,#,2,3,2,3,#,1,#,2,#,4,#,3,12,#,1,6,#,3,#,2,#
17001,20170101,8,2,5,1,#,2,3,#,3,#,6,1,8,4,#,4,#,1,#,5,#,2,1,#,3,3,#,2,#,2,#
17002,20170103,3,6,8,8,#,3,2,#,5,#,4,6,7,4,#,1,#,6,#,2,#,5,3,#,2,5,#,9,#,10,#
17003,20170105,6,3,3,6,#,3,1,#,2,#,4,1,3,6,#,2,#,2,#,7,#,3,6,#,4,2,#,9,#,1,#
17004,20170108,3,2,13,10,#,8,7,#,3,#,7,13,11,5,#,3,#,9,#,9,#,18,15,#,7,7,#,14,#,2,#
17005,20170110,2,18,12,2,#,8,18,#,6,#,10,15,12,9,#,12,#,6,#,17,#,13,10,#,13,7,#,7,#,10,#
17006,20170112,1,1,1,3,#,8,1,#,12,#,1,12,3,1,#,1,#,2,#,2,#,2,4,#,10,1,#,8,#,6,#
17007,20170115,4,2,8,4,#,2,1,#,2,#,2,9,3,3,#,2,#,4,#,3,#,2,9,#,1,7,#,3,#,4,#
17008,20170117,4,2,4,2,#,2,14,#,4,#,3,8,3,2,#,1,#,5,#,3,#,2,1,#,3,6,#,4,#,6,#
17009,20170119,5,4,5,5,#,2,4,#,1,#,2,3,2,6,#,1,#,17,#,6,#,7,1,#,10,7,#,11,#,1,#
17010,20170122,12,2,1,4,#,4,4,#,1,#,1,2,11,2,#,5,#,4,#,2,#,2,5,#,1,2,#,1,#,4,#
17011,20170124,2,4,1,1,#,6,2,#,1,#,2,4,3,1,#,8,#,1,#,2,#,1,1,#,4,1,#,4,#,3,#
17012,20170126,4,3,1,9,#,7,4,#,5,#,3,1,6,3,#,5,#,8,#,5,#,2,1,#,2,3,#,2,#,1,#
17013,20170205,1,6,1,8,#,2,1,#,2,#,1,3,2,6,#,1,#,4,#,4,#,3,8,#,2,9,#,3,#,1,#
17014,20170207,13,5,2,11,#,4,7,#,5,#,2,1,3,1,#,3,#,13,#,10,#,8,2,#,12,7,#,2,#,4,#
17015,20170209,1,1,1,1,#,1,1,#,2,#,5,3,4,2,#,1,#,2,#,8,#,1,7,#,2,1,#,2,#,1,#
17016,20170212,3,6,1,12,#,2,3,#,1,#,17,8,1,3,#,2,#,1,#,3,#,2,4,#,1,1,#,2,#,9,#
17017,20170214,2,3,3,11,#,2,3,#,9,#,2,1,3,3,#,4,#,1,#,4,#,3,2,#,6,5,#,3,#,5,#
17018,20170216,4,1,1,3,#,5,1,#,1,#,7,8,19,7,#,1,#,19,#,9,#,4,9,#,2,4,#,1,#,5,#
17019,20170219,4,5,3,2,#,1,4,#,1,#,5,3,1,1,#,2,#,1,#,2,#,2,3,#,2,1,#,3,#,3,#
17020,20170221,3,1,3,2,#,2,9,#,1,#,6,5,5,1,#,2,#,10,#,4,#,3,3,#,10,1,#,7,#,7,#
17021,20170223,3,6,3,11,#,1,11,#,18,#,7,3,6,6,#,15,#,9,#,8,#,4,3,#,14,4,#,15,#,12,#
17022,20170226,6,7,6,11,#,4,13,#,5,#,12,3,8,7,#,13,#,12,#,2,#,2,7,#,8,15,#,8,#,5,#
17023,20170228,1,4,11,12,#,1,5,#,4,#,2,7,7,11,#,5,#,7,#,8,#,11,5,#,5,9,#,4,#,2,#
17024,20170302,6,8,4,2,#,1,5,#,9,#,1,2,3,7,#,4,#,4,#,3,#,2,10,#,10,1,#,1,#,4,#
17025,20170305,2,1,13,1,#,5,1,#,3,#,10,12,7,15,#,1,#,4,#,2,#,3,14,#,8,2,#,9,#,3,#
17026,20170307,3,12,1,6,#,4,8,#,8,#,3,1,2,11,#,7,#,7,#,7,#,2,5,#,3,2,#,10,#,3,#
17027,20170309,3,5,2,2,#,2,8,#,2,#,2,8,1,1,#,2,#,2,#,11,#,3,5,#,6,6,#,3,#,3,#
17028,20170312,2,11,6,9,#,1,3,#,12,#,3,9,5,1,#,1,#,5,#,12,#,7,17,#,9,12,#,4,#,3,#
17029,20170314,5,5,1,4,#,17,3,#,5,#,6,3,3,7,#,9,#,3,#,2,#,10,15,#,9,5,#,6,#,1,#
17030,20170316,9,11,12,4,#,6,3,#,6,#,11,1,10,10,#,3,#,4,#,11,#,6,1,#,5,11,#,2,#,4,#
17031,20170319,2,4,2,8,#,10,1,#,1,#,1,11,12,2,#,5,#,4,#,3,#,2,6,#,7,4,#,2,#,11,#
17032,20170321,2,1,2,8,#,2,7,#,4,#,4,1,2,1,#,2,#,6,#,3,#,4,3,#,1,4,#,5,#,1,#
17033,20170323,6,1,7,1,#,1,3,#,2,#,4,1,4,3,#,2,#,10,#,4,#,3,1,#,3,11,#,9,#,7,#
17034,20170326,1,14,1,5,#,5,1,#,2,#,1,2,3,4,#,1,#,8,#,2,#,4,7,#,4,15,#,3,#,1,#
17035,20170328,9,2,5,2,#,3,2,#,4,#,3,4,1,3,#,2,#,2,#,4,#,2,5,#,1,4,#,8,#,8,#
17036,20170330,10,5,2,5,#,6,12,#,7,#,6,3,13,5,#,4,#,3,#,7,#,1,6,#,8,10,#,11,#,5,#
17037,20170402,7,11,8,3,#,7,3,#,1,#,5,1,8,9,#,2,#,1,#,2,#,6,8,#,8,3,#,7,#,8,#
17038,20170404,3,1,2,5,#,3,6,#,2,#,2,3,8,2,#,3,#,2,#,2,#,1,5,#,2,3,#,3,#,2,#
17039,20170406,1,1,3,1,#,2,1,#,2,#,1,1,3,1,#,1,#,3,#,1,#,3,5,#,1,1,#,3,#,4,#
17040,20170409,8,10,5,3,#,8,6,#,5,#,1,12,4,11,#,5,#,4,#,1,#,3,10,#,2,16,#,2,#,9,#
17041,20170411,8,4,1,1,#,1,3,#,1,#,2,10,1,3,#,5,#,2,#,1,#,2,8,#,1,4,#,5,#,2,#
17042,20170413,11,6,2,6,#,4,2,#,3,#,4,5,1,3,#,7,#,4,#,1,#,3,3,#,1,1,#,2,#,3,#
17043,20170416,5,2,13,6,#,14,8,#,8,#,14,4,4,11,#,4,#,10,#,12,#,4,2,#,5,9,#,8,#,2,#
17044,20170418,3,2,3,4,#,2,2,#,8,#,6,8,1,7,#,6,#,7,#,1,#,13,5,#,2,3,#,6,#,14,#
17045,20170420,10,5,4,4,#,13,5,#,4,#,11,5,6,4,#,5,#,7,#,6,#,11,5,#,11,2,#,4,#,12,#
17046,20170423,3,8,2,1,#,4,1,#,3,#,12,5,1,5,#,3,#,1,#,6,#,4,17,#,8,10,#,7,#,7,#
17047,20170425,4,6,3,6,#,4,1,#,1,#,1,3,1,3,#,2,#,1,#,1,#,1,4,#,3,7,#,1,#,5,#
17048,20170427,2,1,1,1,#,1,5,#,1,#,1,3,7,5,#,1,#,2,#,3,#,1,2,#,2,6,#,1,#,3,#
17049,20170430,2,3,8,2,#,1,7,#,4,#,2,4,5,2,#,2,#,3,#,1,#,7,2,#,3,5,#,7,#,1,#
17050,20170502,1,10,1,7,#,5,4,#,6,#,1,11,2,9,#,3,#,1,#,2,#,3,3,#,4,8,#,2,#,2,#
17051,20170504,4,1,1,1,#,2,3,#,2,#,1,1,1,1,#,1,#,2,#,1,#,2,4,#,4,3,#,3,#,2,#
17052,20170507,2,3,5,6,#,1,2,#,1,#,1,1,3,2,#,6,#,4,#,3,#,5,6,#,3,7,#,2,#,3,#
17053,20170509,1,3,6,4,#,1,1,#,7,#,1,1,3,4,#,1,#,2,#,1,#,2,1,#,3,6,#,1,#,1,#
17054,20170511,12,6,4,1,#,4,3,#,11,#,1,1,1,9,#,5,#,1,#,1,#,8,3,#,8,9,#,6,#,1,#
17055,20170514,6,2,2,5,#,3,9,#,10,#,2,3,2,6,#,2,#,5,#,7,#,7,10,#,2,6,#,1,#,14,#
17056,20170516,2,5,2,4,#,9,7,#,5,#,10,1,8,1,#,4,#,7,#,7,#,3,11,#,4,4,#,7,#,9,#
17057,20170518,12,8,4,7,#,16,17,#,7,#,5,4,8,7,#,13,#,6,#,8,#,9,4,#,14,9,#,8,#,5,#
17058,20170521,1,4,6,6,#,3,5,#,1,#,2,2,5,6,#,12,#,4,#,1,#,4,1,#,1,11,#,6,#,2,#
17059,20170523,2,3,2,1,#,3,2,#,1,#,10,1,3,2,#,1,#,2,#,1,#,3,1,#,1,4,#,5,#,1,#
17060,20170525,12,12,7,4,#,2,2,#,3,#,2,6,9,1,#,2,#,6,#,1,#,2,3,#,2,1,#,3,#,3,#
17061,20170528,1,1,2,7,#,2,5,#,12,#,6,5,9,14,#,5,#,13,#,1,#,3,7,#,2,1,#,14,#,4,#
17062,20170530,9,2,10,5,#,2,8,#,7,#,6,3,11,3,#,6,#,5,#,11,#,16,6,#,4,14,#,5,#,11,#
17063,20170601,9,6,10,6,#,8,2,#,3,#,2,1,13,8,#,15,#,14,#,10,#,1,6,#,4,9,#,5,#,6,#
17064,20170604,10,8,1,2,#,2,6,#,6,#,6,6,5,4,#,5,#,4,#,8,#,7,4,#,1,4,#,2,#,8,#
17065,20170606,1,2,1,5,#,5,4,#,1,#,3,7,10,2,#,3,#,8,#,11,#,3,4,#,1,3,#,3,#,2,#
17066,20170608,3,3,9,6,#,11,6,#,3,#,1,1,13,1,#,2,#,1,#,1,#,2,1,#,9,3,#,8,#,8,#
17067,20170611,2,6,1,3,#,3,1,#,1,#,2,3,1,1,#,1,#,4,#,2,#,2,12,#,2,1,#,1,#,2,#
17068,20170613,1,3,11,10,#,2,8,#,3,#,6,2,7,6,#,3,#,9,#,4,#,3,8,#,10,2,#,7,#,5,#
17069,20170615,7,6,5,3,#,1,2,#,2,#,1,2,4,11,#,2,#,3,#,3,#,2,4,#,10,4,#,4,#,3,#
17070,20170618,14,11,9,10,#,2,6,#,4,#,2,9,5,3,#,6,#,6,#,9,#,11,3,#,14,8,#,1,#,10,#
17071,20170620,1,3,11,7,#,1,6,#,6,#,8,6,5,16,#,2,#,12,#,16,#,7,2,#,4,4,#,3,#,11,#
17072,20170622,2,6,4,4,#,2,4,#,1,#,1,8,8,1,#,9,#,1,#,2,#,1,6,#,1,5,#,4,#,5,#
17073,20170625,1,6,7,8,#,12,1,#,9,#,1,10,1,13,#,5,#,5,#,1,#,17,9,#,6,5,#,10,#,1,#
17074,20170627,12,8,8,8,#,1,10,#,6,#,9,12,6,7,#,8,#,6,#,16,#,11,9,#,3,13,#,18,#,8,#
17075,20170629,4,3,2,1,#,2,1,#,11,#,4,1,6,7,#,10,#,5,#,18,#,6,6,#,8,7,#,4,#,1,#
17076,20170702,1,1,1,1,#,1,1,#,1,#,1,1,1,1,#,1,#,3,#,1,#,1,1,#,2,1,#,1,#,2,#
17077,20170704,10,11,3,8,#,2,4,#,3,#,1,14,4,4,#,1,#,6,#,9,#,4,8,#,6,11,#,11,#,1,#
17078,20170706,7,2,9,5,#,1,3,#,5,#,9,3,7,3,#,2,#,7,#,1,#,3,2,#,2,1,#,2,#,1,#
17079,20170709,9,2,5,5,#,8,3,#,1,#,9,2,1,7,#,1,#,3,#,4,#,1,6,#,3,13,#,6,#,16,#
17080,20170711,2,5,7,1,#,6,14,#,7,#,5,3,4,1,#,5,#,8,#,11,#,2,3,#,13,5,#,4,#,3,#
17081,20170713,4,4,1,2,#,1,2,#,9,#,4,1,3,5,#,9,#,1,#,1,#,1,3,#,10,2,#,3,#,9,#
17082,20170716,4,5,4,2,#,2,10,#,4,#,8,12,15,5,#,16,#,7,#,7,#,1,8,#,3,1,#,4,#,4,#
17083,20170718,1,1,11,10,#,2,2,#,9,#,1,2,7,1,#,2,#,3,#,7,#,3,1,#,2,10,#,4,#,3,#
17084,20170720,2,1,6,3,#,3,3,#,9,#,1,9,9,1,#,3,#,1,#,1,#,4,5,#,3,1,#,5,#,6,#
17085,20170723,1,7,1,5,#,3,1,#,3,#,1,11,11,2,#,6,#,1,#,3,#,2,2,#,2,6,#,6,#,1,#
17086,20170725,1,4,5,3,#,5,2,#,1,#,4,3,10,4,#,1,#,2,#,1,#,11,6,#,3,1,#,2,#,1,#
17087,20170727,1,3,13,1,#,6,1,#,7,#,7,2,10,4,#,4,#,6,#,11,#,1,12,#,4,13,#,6,#,7,#
17088,20170730,1,4,2,2,#,4,2,#,2,#,3,11,1,3,#,4,#,2,#,2,#,4,1,#,4,3,#,1,#,6,#
17089,20170801,12,8,5,9,#,3,2,#,15,#,12,8,12,7,#,3,#,9,#,5,#,7,4,#,7,6,#,5,#,6,#
17090,20170803,6,9,14,8,#,6,13,#,6,#,8,7,13,12,#,4,#,7,#,19,#,10,2,#,4,2,#,10,#,18,#
17091,20170806,2,1,2,3,#,2,5,#,3,#,1,2,5,3,#,3,#,5,#,2,#,2,5,#,8,5,#,1,#,7,#
17092,20170808,3,1,2,1,#,2,1,#,1,#,1,2,7,3,#,1,#,1,#,1,#,3,1,#,1,1,#,1,#,1,#
17093,20170810,6,8,9,2,#,3,6,#,2,#,2,7,6,2,#,3,#,3,#,3,#,1,6,#,2,1,#,1,#,6,#
17094,20170813,1,2,1,9,#,4,3,#,7,#,1,7,2,5,#,2,#,1,#,6,#,11,8,#,8,2,#,2,#,1,#
17095,20170815,2,2,2,6,#,2,2,#,3,#,1,2,1,3,#,2,#,3,#,2,#,2,3,#,10,1,#,8,#,1,#
17096,20170817,12,2,10,7,#,6,7,#,4,#,8,5,8,10,#,2,#,8,#,3,#,4,5,#,1,4,#,2,#,8,#
17097,20170820,6,1,1,1,#,4,3,#,2,#,4,6,5,4,#,2,#,10,#,1,#,3,9,#,6,3,#,1,#,1,#
17098,20170822,1,8,5,15,#,1,4,#,2,#,4,4,16,8,#,6,#,5,#,1,#,2,4,#,1,5,#,2,#,7,#
17099,20170824,8,12,3,1,#,9,6,#,1,#,1,8,3,2,#,7,#,7,#,1,#,3,5,#,5,6,#,7,#,1,#
17100,20170827,2,4,1,2,#,1,11,#,6,#,4,4,5,5,#,4,#,4,#,6,#,2,2,#,4,2,#,4,#,3,#
