Date,red1,red2,red3,red4,red5,red6,sum_all,sum16,sum25,sum34,gap56,ball,row1,less10,less5,less8,gap25,gap16,gap34,gap45,gap23,gap12,less9,row2,row3,row4,ball_column,blue,blue_sort
20230921,2,2,3,3,2,2,2,2,2,2,2,1,1,1,3,2,3,3,2,2,3,1,3,1,2,3,2,3,3
20230924,2,1,2,2,2,1,2,2,3,2,3,3,2,1,1,2,2,2,1,3,2,3,2,2,2,2,2,2,3
20230926,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,3,2,2,3,2,3,2,3,2,3,2,2
20230928,2,3,1,2,2,2,3,3,3,3,2,1,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,2,2
20231005,2,2,2,2,2,2,1,2,3,1,3,1,1,3,3,3,3,3,3,3,2,2,3,2,2,2,3,3,3
20231008,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,2,1,2,2,3,2,2,2,2,3,3
20231010,1,2,2,2,2,1,2,1,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,3,3,1,2,1,2
20231012,1,2,2,2,3,1,2,2,2,2,3,1,3,1,2,2,3,2,2,3,2,2,3,2,3,2,2,2,3
20231015,3,3,3,2,2,2,3,1,3,2,2,1,1,2,2,2,2,2,2,2,3,2,1,2,2,1,3,2,2
20231017,1,1,3,1,2,2,3,3,3,3,3,3,1,2,2,2,2,1,3,3,2,1,1,3,3,2,2,3,2
20231019,2,2,2,2,2,2,3,2,3,3,3,3,2,3,3,1,1,1,1,2,2,3,3,3,3,3,3,2,3
20231022,2,2,2,3,2,2,3,2,3,3,3,1,2,2,3,2,2,3,1,2,2,3,3,2,2,3,2,2,2
20231024,3,2,1,2,2,1,1,3,1,1,3,1,2,2,3,2,2,2,2,2,2,2,3,1,2,1,3,2,2
20231026,3,3,2,3,3,3,3,3,3,2,2,2,3,3,2,3,2,2,2,3,3,2,2,2,2,1,2,3,2
20231029,2,2,2,2,2,2,2,2,2,1,2,3,1,3,3,3,3,3,3,1,3,2,2,2,2,2,2,2,2
20231031,3,3,2,3,3,3,3,3,3,3,2,2,3,2,3,3,2,2,3,2,3,2,3,2,3,2,2,2,3
20231102,1,3,3,3,1,1,3,1,3,3,2,1,1,2,2,3,3,2,2,2,1,3,2,3,1,1,1,3,3
20231105,2,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,3,2,1,2,3,2,2,2,3,2,3,1,1
20231107,3,3,3,1,2,3,3,3,3,1,1,1,3,2,3,3,3,2,3,3,2,3,3,2,2,2,3,2,3
20231109,3,1,2,2,3,1,2,3,1,2,3,1,3,1,1,2,3,1,2,3,2,3,1,2,2,1,1,2,1
20231112,2,2,2,2,2,1,2,2,2,2,2,1,1,2,3,2,2,3,1,3,3,2,1,2,3,2,2,3,3
20231114,3,2,1,1,3,1,2,2,1,2,2,1,1,3,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1
20231116,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,1,1
20231119,2,2,2,3,2,2,2,2,2,2,1,1,3,3,3,3,3,2,1,2,2,2,3,1,1,2,3,1,3
20231121,2,2,3,1,1,2,2,2,2,2,2,1,3,2,2,3,2,2,3,2,2,2,3,2,2,2,2,1,1
20231123,1,2,1,3,2,2,2,2,3,2,2,3,2,1,2,1,3,2,2,3,3,2,2,2,2,2,1,2,2
20231126,2,3,3,2,2,3,2,2,2,3,1,3,2,2,2,2,1,2,2,2,1,2,2,2,2,3,3,2,3
20231128,1,2,2,2,2,1,2,1,2,2,1,1,1,3,3,1,2,2,3,2,1,3,2,2,2,2,3,3,2
20231130,1,3,3,3,3,3,3,3,3,3,2,1,2,3,2,2,2,3,1,2,2,3,3,2,2,1,3,3,3
20231203,3,2,2,2,2,2,1,3,2,1,2,1,2,1,2,3,2,2,1,2,1,2,2,2,2,1,1,2,3
20231205,2,3,2,2,3,1,2,2,2,3,3,1,1,3,2,2,3,3,1,3,3,2,3,3,2,1,3,3,2
20231207,2,2,1,3,2,3,3,3,2,3,1,1,3,2,2,2,2,2,3,1,2,3,2,2,2,2,2,3,3
20231210,1,1,2,2,2,2,3,2,3,3,2,2,3,1,2,2,3,3,1,1,3,2,1,3,3,1,3,3,2
20231212,2,2,3,2,2,2,2,1,2,3,2,3,3,2,2,3,1,2,2,3,3,3,3,3,3,3,3,2,3
20231214,3,3,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,3,1,1,2,1,3,3,2,2,3,2,3
20231217,1,2,2,1,2,3,2,2,2,2,3,2,1,3,2,2,2,1,3,2,3,2,2,3,1,3,1,2,2
20231219,2,3,3,3,2,2,3,2,3,3,3,1,2,3,2,2,2,3,2,3,2,3,3,2,2,1,2,2,2
20231221,2,2,2,1,2,1,1,2,1,1,3,3,1,1,1,2,2,1,2,1,2,1,1,3,3,1,2,2,2
20231224,2,2,2,3,1,3,3,3,3,3,2,3,1,2,2,2,2,3,1,3,2,1,3,1,1,3,3,2,2
20231226,2,2,2,2,2,2,2,2,2,2,3,1,2,2,3,3,3,3,2,2,3,2,3,3,3,2,2,3,3
20231228,2,2,2,2,2,1,3,3,3,3,2,1,3,2,3,3,2,2,3,2,1,2,3,2,2,2,2,2,3
20231231,2,2,2,2,2,2,3,3,2,2,2,2,1,1,3,3,3,2,2,2,2,2,3,2,2,2,3,1,2
20240102,2,2,1,2,2,2,2,2,2,2,2,1,3,1,3,3,2,2,2,2,2,2,1,3,2,2,2,3,3
20240104,2,2,2,2,2,3,3,3,3,2,3,3,2,3,2,3,3,3,2,1,2,2,2,3,3,1,3,2,3
20240107,3,2,3,3,3,2,2,2,2,2,1,1,3,2,3,3,3,2,3,3,2,2,3,2,3,1,2,2,2
20240109,3,2,2,2,2,2,1,2,3,1,3,2,2,3,3,2,3,3,3,2,2,1,3,2,3,1,3,2,2
20240111,2,2,3,2,2,2,2,2,2,2,3,3,1,2,1,3,2,2,2,2,3,2,2,3,3,2,3,2,2
20240114,2,3,1,2,2,1,3,3,3,2,1,1,3,2,3,3,3,2,2,2,2,3,3,2,2,2,3,2,2
20240116,2,3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,1,3,1,3,3,2,3,2,2,2,3,3,3
20240118,2,3,2,2,2,2,2,2,3,2,2,2,2,2,1,3,3,2,1,1,1,3,1,1,2,1,3,1,1
20240121,2,2,2,3,3,3,3,3,3,3,2,2,1,1,1,2,2,1,1,3,1,2,3,2,2,1,3,3,2
