row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56,red_blue
11_3,2,7,14,19,23,29,94,31,27,30,16,33,5,7,5,4,6,9
11_4,4,8,14,19,23,28,96,32,24,31,15,33,4,6,5,4,5,8
11_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
11_6,4,8,16,17,23,26,94,30,22,31,15,33,4,8,1,6,3,0
11_7,5,4,11,19,26,28,93,33,23,30,22,30,-1,7,8,7,2,2
11_8,1,5,12,18,25,27,88,28,26,30,20,30,4,7,6,7,2,7
11_9,2,6,11,18,24,26,87,28,24,30,18,29,4,5,7,6,2,11
11_10,2,5,11,17,24,26,85,28,24,29,19,28,3,6,6,7,2,7
12_1,5,12,17,20,23,30,107,35,25,35,11,37,7,5,3,3,7,11
12_2,2,6,12,17,26,30,93,32,28,32,20,29,4,6,5,9,4,6
12_3,3,10,16,19,25,29,102,32,26,35,15,35,7,6,3,6,4,8
12_4,4,8,13,19,24,28,96,32,24,32,16,32,4,5,6,5,4,8
12_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
12_6,4,7,17,22,27,26,103,30,22,34,20,39,3,10,5,5,-1,0
12_7,2,8,13,21,26,28,98,30,26,34,18,34,6,5,8,5,2,6
12_8,4,7,15,20,27,30,103,34,26,34,20,35,3,8,5,7,3,5
12_9,2,7,14,23,27,30,103,32,28,34,20,37,5,7,9,4,3,6
12_10,1,7,14,23,25,27,97,28,26,32,18,37,6,7,9,2,2,5
13_1,1,5,11,17,19,24,77,25,23,24,14,28,4,6,6,2,5,5
13_2,2,6,11,19,27,30,95,32,28,33,21,30,4,5,8,8,3,5
13_3,3,8,14,20,25,29,99,32,26,33,17,34,5,6,6,5,4,6
13_4,4,8,14,19,24,28,97,32,24,32,16,33,4,6,5,5,4,8
13_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,8
13_6,3,7,13,19,26,28,96,31,25,33,19,32,4,6,6,7,2,0
13_7,1,6,17,21,27,30,102,31,29,33,21,38,5,11,4,6,3,5
13_8,2,4,13,20,26,28,93,30,26,30,22,33,2,9,7,6,2,6
13_9,1,5,11,18,25,28,88,29,27,30,20,29,4,6,7,7,3,8
13_10,2,6,12,19,25,27,91,29,25,31,19,31,4,6,7,6,2,7
14_1,4,8,12,15,21,26,86,30,22,29,13,27,4,4,3,6,5,8
14_2,2,11,16,20,27,30,106,32,28,38,16,36,9,5,4,7,3,9
14_3,3,10,16,19,25,30,103,33,27,35,15,35,7,6,3,6,5,6
14_4,4,9,14,19,25,29,100,33,25,34,16,33,5,5,5,6,4,8
