Date,Game,red2_out,red5_out,red3_out,red2_in,red5_in,red4_out,red1_out,red6_out,red6_in,red3_in,red4_in,red1_in
20230806,23090,0,0,0,0,0,1,0,1,1,0,1,1
20230808,23091,0,1,0,0,1,1,0,0,0,0,1,0
20230810,23092,1,0,0,1,0,1,0,0,0,0,1,0
20230813,23093,0,1,1,0,1,1,0,1,1,1,1,0
20230815,23094,1,0,1,1,0,0,1,1,1,1,0,1
20230817,23095,1,0,0,0,1,0,0,0,1,0,1,0
20230820,23096,1,0,0,0,0,0,1,0,0,0,0,0
20230822,23097,1,1,0,1,1,1,0,1,1,0,1,0
20230824,23098,1,1,0,0,0,0,1,0,1,1,0,1
20230827,23099,0,0,1,1,0,1,0,0,0,1,1,0
20230829,23100,0,0,0,0,0,0,1,0,0,0,0,1
20230831,23101,0,0,0,0,0,1,0,1,1,0,1,0
20230903,23102,1,1,1,1,0,0,1,0,1,1,0,1
20230905,23103,0,0,1,0,1,0,0,0,1,1,0,0
20230907,23104,0,0,0,0,0,0,0,0,0,0,0,0
20230910,23105,0,1,0,0,1,0,0,0,0,0,0,0
20230912,23106,1,0,1,1,0,1,0,0,0,1,1,0
20230914,23107,1,0,0,1,0,0,1,0,0,0,0,1
20230917,23108,0,0,0,0,0,0,0,0,1,0,0,1
20230919,23109,1,0,1,1,0,1,0,0,0,1,1,0
20230921,23110,1,0,0,0,0,0,1,0,0,0,0,1
20230924,23111,1,0,1,1,1,1,1,1,1,0,0,1
20230926,23112,0,0,1,0,1,0,0,0,1,1,0,0
20230928,23113,0,0,1,0,1,1,0,0,1,1,1,0
20231005,23114,0,0,0,1,0,0,0,0,0,1,0,0
20231008,23115,0,0,0,0,1,0,0,1,1,0,0,0
20231010,23116,0,0,0,1,1,0,1,1,1,0,0,1
20231012,23117,0,0,1,0,0,1,1,1,1,1,1,1
20231015,23118,0,0,0,0,1,1,0,1,1,0,1,0
20231017,23119,1,0,0,1,0,1,1,1,0,0,1,1
,,0,0,0,0,0,0,0,1,1,0,0,1
