bravo2.A3_3    111_[2, 0, 1, 0, 2, 2, 4, 0, 5, 10, 2, 7, 1, 1, 15]    (12)
bravo1.A1_2    111_[1, 2, 3, 3, 10, 4, 6, 1, 0, 0, 1, 0, 4, 0, 7]    (6)
bravo2.A5_2    111_[1, 2, 8, 1, 4, 0, 0, 0, 1, 1, 2, 8, 2, 7, 4]    (23)
bravo1.D3_12    111_[0, 4, 1, 7, 2, 1, 6, 12, 2, 4, 9, 0, 5, 2, 12]    (19)
bravo3.D4_7    110_[11, 5, 8, 5, 4, 1, 9, 1, 0, 1, 1, 11, 2, 0, 10]    (12)
bravo3.D6_5    110_[11, 6, 3, 2, 2, 10, 0, 1, 6, 0, 0, 2, 6, 14, 0]    (22)
bravo1.A3_7    110_[10, 10, 1, 1, 11, 1, 16, 1, 1, 9, 9, 4, 6, 0, 7]    (18)
bravo2.A2_1    110_[10, 2, 6, 3, 4, 4, 1, 1, 0, 3, 4, 0, 1, 5, 3]    (11)
bravo2.A5_6    110_[9, 5, 7, 3, 0, 8, 0, 0, 3, 1, 8, 2, 0, 10, 0]    (27)
bravo2.D4_7    110_[7, 9, 4, 3, 5, 4, 2, 2, 0, 4, 1, 0, 6, 6, 5]    (30)
bravo3.D6_1    110_[6, 2, 2, 1, 8, 0, 3, 1, 4, 17, 5, 2, 3, 9, 7]    (25)
bravo3.D1_1    110_[3, 5, 8, 13, 9, 5, 1, 0, 1, 8, 0, 0, 5, 3, 0]    (9)
bravo1.A3_21    110_[2, 1, 0, 1, 5, 0, 11, 3, 1, 2, 0, 9, 2, 6, 6]    (27)
bravo1.A4_3    110_[2, 3, 0, 0, 0, 4, 3, 2, 0, 4, 0, 15, 12, 15, 5]    (28)
bravo2.D2_7    110_[2, 0, 4, 4, 3, 4, 0, 25, 16, 5, 0, 0, 2, 9, 17]    (20)
bravo3.A2_1    110_[1, 3, 4, 2, 6, 3, 4, 4, 1, 1, 0, 3, 4, 0, 1]    (11)
