red1
28:(19.8, 0), (79.3, 0), (171.1, 0)
29:(19.8, 0), (79.3, 0), (171.1, 0)
30:(19.8, 0), (79.3, 0), (171.1, 0)
31:(0, 19.8), (0, 79.3), (0, 171.1)

red_sum25
18:(0, 41.1), (0, 51.0), (0, 141.5)
19:(0.4, 40.7), (1.6, 49.4), (3.5, 138.0)
20:(0.4, 40.7), (1.6, 49.4), (3.5, 138.0)
21:(0.4, 40.7), (4.3, 46.7), (9.0, 132.5)
22:(0.4, 40.7), (6.8, 44.2), (13.9, 127.6)
23:(0.7, 40.4), (8.5, 42.5), (17.5, 124.0)
24:(5.3, 35.8), (12.5, 38.5), (29.5, 112.0)
25:(6.8, 34.3), (15.0, 36.0), (35.9, 105.6)
26:(8.7, 32.4), (19.4, 31.6), (46.3, 95.2)
27:(12.1, 29.0), (21.9, 29.1), (54.7, 86.8)
28:(15.1, 26.0), (27.2, 23.8), (68.4, 73.1)
29:(16.3, 24.8), (28.4, 22.6), (72.1, 69.4)
30:(41.1, 0), (51.0, 0), (141.5, 0)
31:(19.0, 22.1), (17.0, 34.0), (52.5, 89.0)
32:(16.2, 24.9), (13.7, 37.3), (43.1, 98.4)
33:(14.4, 26.7), (12.5, 38.5), (39.1, 102.4)
34:(14.4, 26.7), (12.5, 38.5), (39.1, 102.4)
35:(10.1, 31.0), (10.3, 40.7), (30.0, 111.5)
36:(10.1, 31.0), (10.3, 40.7), (30.0, 111.5)
37:(10.1, 31.0), (10.3, 40.7), (30.0, 111.5)
38:(4.5, 36.6), (2.8, 48.2), (10.0, 131.5)
39:(2.9, 38.2), (1.9, 49.1), (6.7, 134.8)
40:(1.5, 39.6), (0.9, 50.1), (3.5, 138.0)
41:(0, 41.1), (0, 51.0), (0, 141.5)

red_gap25
8:(0, 207.5), (0, 136.7), (0, 114.3)
9:(16.4, 191.1), (11.2, 125.5), (5.8, 108.5)
10:(42.2, 165.3), (28.1, 108.6), (23.1, 91.2)
11:(50.0, 157.5), (32.4, 104.3), (26.9, 87.4)
12:(65.8, 141.7), (42.9, 93.8), (35.1, 79.2)
13:(111.4, 96.1), (74.5, 62.2), (55.7, 58.6)
14:(143.5, 64.0), (94.9, 41.8), (76.0, 38.3)
15:(173.2, 34.3), (113.9, 22.8), (95.8, 18.5)
16:(177.4, 30.1), (116.4, 20.3), (101.1, 13.2)
17:(185.1, 22.4), (121.9, 14.8), (106.4, 7.9)
18:(198.6, 8.9), (130.5, 6.2), (110.8, 3.5)
19:(207.5, 0), (136.7, 0), (114.3, 0)
20:(207.5, 0), (136.7, 0), (114.3, 0)
21:(207.5, 0), (136.7, 0), (114.3, 0)
22:(207.5, 0), (136.7, 0), (114.3, 0)
23:(0, 207.5), (0, 136.7), (0, 114.3)

red_sum34
15:(0, 75.9), (0, 24.4), (0, 112.7)
16:(2.3, 73.6), (0.4, 24.0), (3.0, 109.7)
17:(2.3, 73.6), (0.4, 24.0), (3.0, 109.7)
18:(2.3, 73.6), (0.4, 24.0), (3.0, 109.7)
19:(75.9, 0), (24.4, 0), (112.7, 0)
20:(73.6, 2.3), (24.0, 0.4), (109.7, 3.0)
21:(71.6, 4.3), (24.0, 0.4), (107.1, 5.6)
22:(71.6, 4.3), (24.0, 0.4), (107.1, 5.6)
23:(71.6, 4.3), (24.0, 0.4), (107.1, 5.6)
24:(68.1, 7.8), (23.5, 0.9), (102.4, 10.3)
25:(65.0, 10.9), (22.4, 2.0), (96.8, 15.9)
26:(62.7, 13.2), (22.3, 2.1), (94.4, 18.3)
27:(59.3, 16.6), (21.4, 3.0), (89.4, 23.3)
28:(56.6, 19.3), (19.7, 4.7), (83.3, 29.4)
