row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
36_3,4,9,14,18,25,29,99,33,25,34,16,32,5,5,4,7,4,
36_4,4,8,14,19,24,27,96,31,23,32,16,33,4,6,5,5,3,
36_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
36_6,2,9,10,14,24,31,90,33,29,33,15,24,7,1,4,10,7,
36_7,2,8,11,14,25,31,91,33,29,33,17,25,6,3,3,11,6,
36_8,0,6,9,12,22,30,79,30,30,28,16,21,6,3,3,10,8,
36_9,4,8,14,17,21,28,92,32,24,29,13,31,4,6,3,4,7,
36_10,3,8,13,17,23,29,93,32,26,31,15,30,5,5,4,6,6,
37_1,3,7,9,13,26,30,88,33,27,33,19,22,4,2,4,13,4,
37_2,4,7,11,18,26,30,96,34,26,33,19,29,3,4,7,8,4,
37_3,5,8,13,19,25,29,99,34,24,33,17,32,3,5,6,6,4,
37_4,4,8,13,18,23,28,94,32,24,31,15,31,4,5,5,5,5,
37_5,5,9,13,18,23,28,96,33,23,32,14,31,4,4,5,5,5,
37_6,4,6,10,15,21,30,86,34,26,27,15,25,2,4,5,6,9,
37_7,4,7,10,15,24,30,90,34,26,31,17,25,3,3,5,9,6,
37_8,1,7,10,15,24,30,87,31,29,31,17,25,6,3,5,9,6,
37_9,1,5,10,15,21,31,83,32,30,26,16,25,4,5,5,6,10,
37_10,5,10,17,20,25,30,107,35,25,35,15,37,5,7,3,5,5,
38_1,4,8,11,16,25,30,94,34,26,33,17,27,4,3,5,9,5,
38_2,4,7,11,14,24,28,88,32,24,31,17,25,3,4,3,10,4,
38_3,5,8,13,18,23,28,95,33,23,31,15,31,3,5,5,5,5,
38_4,4,9,15,19,24,28,99,32,24,33,15,34,5,6,4,5,4,
38_5,5,9,14,19,23,28,98,33,23,32,14,33,4,5,5,4,5,
38_6,4,10,12,13,23,33,95,37,29,33,13,25,6,2,1,10,10,
38_7,4,8,12,15,20,32,91,36,28,28,12,27,4,4,3,5,12,
38_8,3,6,9,14,17,32,81,35,29,23,11,23,3,3,5,3,15,
38_9,3,6,12,17,21,31,90,34,28,27,15,29,3,6,5,4,10,
38_10,5,10,14,19,24,31,103,36,26,34,14,33,5,4,5,5,7,
39_1,4,7,10,16,24,27,88,31,23,31,17,26,3,3,6,8,3,
39_2,5,6,11,16,23,27,88,32,22,29,17,27,1,5,5,7,4,
39_3,6,8,13,18,24,28,97,34,22,32,16,31,2,5,5,6,4,
39_4,4,8,14,19,24,28,97,32,24,32,16,33,4,6,5,5,4,
39_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
39_6,1,8,11,17,28,32,97,33,31,36,20,28,7,3,6,11,4,
39_7,1,10,13,20,27,31,102,32,30,37,17,33,9,3,7,7,4,
39_8,0,6,14,21,26,31,98,31,31,32,20,35,6,8,7,5,5,
39_9,2,8,14,20,25,31,100,33,29,33,17,34,6,6,6,5,6,
39_10,2,6,13,18,24,31,94,33,29,30,18,31,4,7,5,6,7,
40_1,6,8,14,20,26,30,104,36,24,34,18,34,2,6,6,6,4,
40_2,4,7,12,17,26,29,95,33,25,33,19,29,3,5,5,9,3,
40_3,7,11,18,21,26,31,114,38,24,37,15,39,4,7,3,5,5,
40_4,4,8,14,18,23,28,95,32,24,31,15,32,4,6,4,5,5,
40_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
40_6,3,8,10,14,25,32,92,35,29,33,17,24,5,2,4,11,7,
40_7,2,9,10,15,24,32,92,34,30,33,15,25,7,1,5,9,8,
40_8,1,6,7,13,20,30,77,31,29,26,14,20,5,1,6,7,10,
40_9,2,6,10,15,22,29,84,31,27,28,16,25,4,4,5,7,7,
40_10,3,7,10,15,24,30,89,33,27,31,17,25,4,3,5,9,6,
41_1,6,6,10,18,25,28,93,34,22,31,19,28,0,4,8,7,3,
41_2,6,7,11,17,26,30,97,36,24,33,19,28,1,4,6,9,4,
41_3,6,9,14,19,25,30,103,36,24,34,16,33,3,5,5,6,5,
41_4,5,9,15,20,24,28,101,33,23,33,15,35,4,6,5,4,4,
41_5,5,9,14,19,23,28,98,33,23,32,14,33,4,5,5,4,5,
41_6,5,11,15,19,27,31,108,36,26,38,16,34,6,4,4,8,4,
41_7,4,9,15,16,20,31,95,35,27,29,11,31,5,6,1,4,11,
41_8,2,6,10,14,22,31,85,33,29,28,16,24,4,4,4,8,9,
41_9,1,6,13,17,21,27,85,28,26,27,15,30,5,7,4,4,6,
41_10,2,7,12,18,24,30,93,32,28,31,17,30,5,5,6,6,6,
42_1,4,8,14,20,30,32,108,36,28,38,22,34,4,6,6,10,2,
42_2,4,8,13,16,27,31,99,35,27,35,19,29,4,5,3,11,4,
42_3,5,9,14,18,24,29,99,34,24,33,15,32,4,5,4,6,5,
42_4,5,9,15,20,24,28,101,33,23,33,15,35,4,6,5,4,4,
42_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
42_6,5,9,10,14,25,31,94,36,26,34,16,24,4,1,4,11,6,
42_7,5,9,9,13,20,32,88,37,27,29,11,22,4,0,4,7,12,
42_8,5,9,10,17,23,32,96,37,27,32,14,27,4,1,7,6,9,
42_9,4,10,13,19,25,31,102,35,27,35,15,32,6,3,6,6,6,
42_10,5,10,12,19,24,31,101,36,26,34,14,31,5,2,7,5,7,
43_1,3,6,11,19,24,28,91,31,25,30,18,30,3,5,8,5,4,
43_2,3,6,9,17,25,26,86,29,23,31,19,26,3,3,8,8,1,
43_3,3,8,12,17,23,28,91,31,25,31,15,29,5,4,5,6,5,
43_4,5,9,15,20,24,28,101,33,23,33,15,35,4,6,5,4,4,
43_5,5,9,14,19,24,28,99,33,23,33,15,33,4,5,5,5,4,
43_6,6,9,13,14,23,30,95,36,24,32,14,27,3,4,1,9,7,
43_7,5,9,13,14,22,30,93,35,25,31,13,27,4,4,1,8,8,
43_8,4,8,13,16,23,31,95,35,27,31,15,29,4,5,3,7,8,
43_9,3,8,14,15,23,32,95,35,29,31,15,29,5,6,1,8,9,
43_10,5,10,16,17,27,32,107,37,27,37,17,33,5,6,1,10,5,
44_1,6,10,14,19,25,32,106,38,26,35,15,33,4,4,5,6,7,
44_2,6,10,15,18,26,30,105,36,24,36,16,33,4,5,3,8,4,
44_3,6,9,15,18,24,29,101,35,23,33,15,33,3,6,3,6,5,
44_4,5,9,15,19,24,28,100,33,23,33,15,34,4,6,4,5,4,
44_5,5,9,14,19,24,28,99,33,23,33,15,33,4,5,5,5,4,
44_6,2,8,11,13,21,29,84,31,27,29,13,24,6,3,2,8,8,
44_7,2,9,12,16,23,30,92,32,28,32,14,28,7,3,4,7,7,
44_8,2,7,11,15,22,29,86,31,27,29,15,26,5,4,4,7,7,
44_9,2,6,12,16,19,29,84,31,27,25,13,28,4,6,4,3,10,
44_10,2,8,14,18,25,30,97,32,28,33,17,32,6,6,4,7,5,
45_1,3,9,12,17,24,30,95,33,27,33,15,29,6,3,5,7,6,
45_2,3,8,13,17,26,30,97,33,27,34,18,30,5,5,4,9,4,
45_3,4,8,14,18,24,28,96,32,24,32,16,32,4,6,4,6,4,
45_4,4,9,15,20,24,28,100,32,24,33,15,35,5,6,5,4,4,
45_5,5,9,14,19,24,28,99,33,23,33,15,33,4,5,5,5,4,
45_6,4,5,11,13,21,30,84,34,26,26,16,24,1,6,2,8,9,
45_7,4,6,12,15,23,32,92,36,28,29,17,27,2,6,3,8,9,
45_8,3,4,8,14,23,31,83,34,28,27,19,22,1,4,6,9,8,
45_9,2,4,12,19,23,30,90,32,28,27,19,31,2,8,7,4,7,
45_10,4,7,15,20,25,30,101,34,26,32,18,35,3,8,5,5,5,
46_1,6,10,15,17,24,29,101,35,23,34,14,32,4,5,2,7,5,
46_2,3,5,11,16,24,29,88,32,26,29,19,27,2,6,5,8,5,
46_3,2,7,13,17,23,29,91,31,27,30,16,30,5,6,4,6,6,
46_4,5,9,15,20,24,29,102,34,24,33,15,35,4,6,5,4,5,
46_5,5,9,14,19,24,28,99,33,23,33,15,33,4,5,5,5,4,
46_6,4,10,14,20,28,31,107,35,27,38,18,34,6,4,6,8,3,
46_7,5,11,15,20,27,31,109,36,26,38,16,35,6,4,5,7,4,
46_8,3,8,12,19,28,31,101,34,28,36,20,31,5,4,7,9,3,
46_9,1,7,12,17,24,30,91,31,29,31,17,29,6,5,5,7,6,
46_10,2,8,11,16,24,30,91,32,28,32,16,27,6,3,5,8,6,
47_1,4,8,11,15,21,27,86,31,23,29,13,26,4,3,4,6,6,
47_2,3,6,10,16,24,27,86,30,24,30,18,26,3,4,6,8,3,
47_3,4,10,15,20,25,30,104,34,26,35,15,35,6,5,5,5,5,
47_4,5,9,13,18,23,28,96,33,23,32,14,31,4,4,5,5,5,
47_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
47_6,3,8,11,12,20,30,84,33,27,28,12,23,5,3,1,8,10,
47_7,2,7,10,13,21,30,83,32,28,28,14,23,5,3,3,8,9,
47_8,2,6,9,14,21,31,83,33,29,27,15,23,4,3,5,7,10,
47_9,2,6,9,15,22,29,83,31,27,28,16,24,4,3,6,7,7,
47_10,3,7,11,15,23,29,88,32,26,30,16,26,4,4,4,8,6,
48_1,2,6,7,13,23,27,78,29,25,29,17,20,4,1,6,10,4,
48_2,3,6,8,12,22,25,76,28,22,28,16,20,3,2,4,10,3,
48_3,4,7,13,17,23,29,93,33,25,30,16,30,3,6,4,6,6,
48_4,5,9,15,20,25,29,103,34,24,34,16,35,4,6,5,5,4,
48_5,5,9,14,19,24,28,99,33,23,33,15,33,4,5,5,5,4,
48_6,5,9,13,15,24,32,98,37,27,33,15,28,4,4,2,9,8,
48_7,3,8,12,15,24,32,94,35,29,32,16,27,5,4,3,9,8,
48_8,2,7,10,16,24,31,90,33,29,31,17,26,5,3,6,8,7,
48_9,2,9,15,20,27,30,103,32,28,36,18,35,7,6,5,7,3,
48_10,3,9,16,20,28,30,106,33,27,37,19,36,6,7,4,8,2,
49_1,4,10,11,16,27,28,96,32,24,37,17,27,6,1,5,11,1,
49_2,3,7,9,13,22,27,81,30,24,29,15,22,4,2,4,9,5,
49_3,3,7,11,15,22,29,87,32,26,29,15,26,4,4,4,7,7,
49_4,5,9,15,20,25,28,102,33,23,34,16,35,4,6,5,5,3,
49_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4,
49_6,4,7,10,13,24,30,88,34,26,31,17,23,3,3,3,11,6,
49_7,3,7,13,16,23,30,92,33,27,30,16,29,4,6,3,7,7,
49_8,2,6,11,16,23,29,87,31,27,29,17,27,4,5,5,7,6,
49_9,2,5,11,17,22,32,89,34,30,27,17,28,3,6,6,5,10,
49_10,2,6,12,17,23,31,91,33,29,29,17,29,4,6,5,6,8,
50_1,4,9,12,13,25,29,92,33,25,34,16,25,5,3,1,12,4,
50_2,4,9,14,16,24,29,96,33,25,33,15,30,5,5,2,8,5,
50_3,4,9,15,18,24,28,98,32,24,33,15,33,5,6,3,6,4,
50_4,5,10,15,20,25,29,104,34,24,35,15,35,5,5,5,5,4,
50_5,5,9,14,19,23,28,98,33,23,32,14,33,4,5,5,4,5,
50_6,6,12,15,16,25,30,104,36,24,37,13,31,6,3,1,9,5,
50_7,5,11,16,17,25,30,104,35,25,36,14,33,6,5,1,8,5,
50_8,5,9,13,15,23,30,95,35,25,32,14,28,4,4,2,8,7,
50_9,2,7,10,14,23,29,85,31,27,30,16,24,5,3,4,9,6,
50_10,4,10,14,16,24,29,97,33,25,34,14,30,6,4,2,8,5,
