row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
6_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
6_6,4,10,18,18,24,30,104,34,26,34,14,36,6,8,0,6,6,
6_7,3,10,18,21,25,31,108,34,28,35,15,39,7,8,3,4,6,
6_8,3,11,14,19,25,31,103,34,28,36,14,33,8,3,5,6,6,
6_9,2,6,15,20,19,29,91,31,27,25,13,35,4,9,5,-1,10,
6_10,3,9,15,20,24,30,101,33,27,33,15,35,6,6,5,4,6,
7_1,4,7,13,19,28,31,102,35,27,35,21,32,3,6,6,9,3,
7_2,4,7,13,18,28,31,101,35,27,35,21,31,3,6,5,10,3,
7_3,4,11,15,19,26,30,105,34,26,37,15,34,7,4,4,7,4,
7_4,5,9,14,18,23,28,97,33,23,32,14,32,4,5,4,5,5,
7_5,4,9,14,18,23,28,96,32,24,32,14,32,5,5,4,5,5,
7_6,5,11,17,21,26,32,112,37,27,37,15,38,6,6,4,5,6,
7_7,5,11,17,23,26,31,113,36,26,37,15,40,6,6,6,3,5,
7_8,3,12,16,24,29,32,116,35,29,41,17,40,9,4,8,5,3,
7_9,2,9,14,17,20,26,88,28,24,29,11,31,7,5,3,3,6,
7_10,3,10,15,18,22,28,96,31,25,32,12,33,7,5,3,4,6,
8_1,2,5,9,15,23,24,78,26,22,28,18,24,3,4,6,8,1,
8_2,3,5,10,13,24,27,82,30,24,29,19,23,2,5,3,11,3,
8_3,4,11,16,19,25,30,105,34,26,36,14,35,7,5,3,6,5,
8_4,4,9,15,20,24,29,101,33,25,33,15,35,5,6,5,4,5,
8_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,
8_6,3,11,14,21,28,33,110,36,30,39,17,35,8,3,7,7,5,
8_7,5,13,16,22,29,32,117,37,27,42,16,38,8,3,6,7,3,
8_8,3,10,13,21,28,32,107,35,29,38,18,34,7,3,8,7,4,
8_9,1,7,14,20,24,31,97,32,30,31,17,34,6,7,6,4,7,
8_10,2,10,17,23,28,31,111,33,29,38,18,40,8,7,6,5,3,
9_1,5,8,10,15,25,30,93,35,25,33,17,25,3,2,5,10,5,
9_2,4,8,12,17,28,31,100,35,27,36,20,29,4,4,5,11,3,
9_3,4,8,14,19,26,30,101,34,26,34,18,33,4,6,5,7,4,
9_4,5,10,15,20,25,28,103,33,23,35,15,35,5,5,5,5,3,
9_5,4,9,14,19,23,28,97,32,24,32,14,33,5,5,5,4,5,
9_6,1,7,15,21,28,32,104,33,31,35,21,36,6,8,6,7,4,
9_7,1,9,17,24,28,32,111,33,31,37,19,41,8,8,7,4,4,
9_8,1,8,15,20,24,31,99,32,30,32,16,35,7,7,5,4,7,
9_9,1,7,13,21,27,31,100,32,30,34,20,34,6,6,8,6,4,
9_10,3,9,15,21,26,32,106,35,29,35,17,36,6,6,6,5,6,
10_1,4,7,9,15,23,28,86,32,24,30,16,24,3,2,6,8,5,
10_2,3,7,11,15,24,28,88,31,25,31,17,26,4,4,4,9,4,
10_3,5,9,14,19,24,30,101,35,25,33,15,33,4,5,5,5,6,
10_4,5,10,15,19,24,29,102,34,24,34,14,34,5,5,4,5,5,
10_5,5,9,14,18,23,28,97,33,23,32,14,32,4,5,4,5,5,
10_6,2,6,6,11,24,32,81,34,30,30,18,17,4,0,5,13,8,
10_7,1,9,10,16,25,32,93,33,31,34,16,26,8,1,6,9,7,
10_8,2,6,9,15,26,32,90,34,30,32,20,24,4,3,6,11,6,
10_9,1,4,9,15,24,31,84,32,30,28,20,24,3,5,6,9,7,
10_10,2,7,14,19,27,30,99,32,28,34,20,33,5,7,5,8,3,
11_1,10,13,18,21,26,30,118,40,20,39,13,39,3,5,3,5,4,
11_2,5,10,15,21,26,30,107,35,25,36,16,36,5,5,6,5,4,
11_3,3,9,15,20,25,29,101,32,26,34,16,35,6,6,5,5,4,
11_4,5,9,14,19,24,28,99,33,23,33,15,33,4,5,5,5,4,
11_5,5,9,14,18,23,28,97,33,23,32,14,32,4,5,4,5,5,
11_6,4,9,11,14,22,30,90,34,26,31,13,25,5,2,3,8,8,
11_7,3,7,10,15,22,32,89,35,29,29,15,25,4,3,5,7,10,
11_8,2,7,11,17,24,32,93,34,30,31,17,28,5,4,6,7,8,
11_9,2,5,8,16,22,31,84,33,29,27,17,24,3,3,8,6,9,
11_10,3,9,13,18,25,30,98,33,27,34,16,31,6,4,5,7,5,
